"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",0,0,320,0,0,188,0,0,203,0,0,42,0,0,204,0,0,42
"3",0,0,303,0,0,193,0,0,200,0,0,52,0,0,200,0,0,52
"4",0,0,287,0,0,213,0,0,182,0,0,68,170,0,52,9,0,19
"5",0,0,324,0,0,154,0,0,215,0,0,46,0,0,215,0,0,45
"6",0,0,297,0,0,226,0,0,165,0,0,74,204,0,13,17,0,5
"7",0,0,277,0,0,206,0,0,179,0,0,80,165,0,51,21,0,22
"8",0,0,273,0,0,210,0,0,196,0,0,63,203,0,35,15,0,6
"9",0,0,295,0,0,192,0,0,205,0,0,52,0,0,205,0,0,52
"10",0,0,303,0,0,228,0,0,177,0,0,58,0,0,177,0,0,58
"11",0,0,308,0,0,184,0,0,204,0,0,50,0,0,204,0,0,50
"12",0,0,304,0,0,201,0,0,207,0,0,40,0,0,207,0,0,40
"13",0,0,282,0,0,218,0,0,177,0,0,73,181,0,41,15,0,14
"14",0,0,270,0,0,202,0,0,189,0,0,75,218,0,21,19,0,6
"15",0,0,349,0,0,157,0,0,206,0,0,41,0,0,206,0,0,41
"16",0,0,289,0,0,230,0,0,182,0,0,58,198,0,25,10,0,9
"17",0,0,243,0,0,234,0,0,173,0,0,89,228,0,5,24,0,3
"18",0,0,268,0,0,220,0,0,188,0,0,68,227,0,4,24,0,1
"19",0,0,303,0,0,174,0,0,210,0,0,51,0,0,211,0,0,51
"20",0,0,300,0,0,184,0,0,202,0,0,55,0,0,202,0,0,55
"21",0,0,302,0,0,198,0,0,189,0,0,61,0,0,189,0,0,61
"22",0,0,256,0,0,207,0,0,199,0,0,69,186,0,44,24,0,14
"23",0,0,308,0,0,191,0,0,191,0,0,59,209,0,18,19,0,5
"24",0,0,283,0,0,214,0,0,176,0,0,75,219,0,10,18,0,4
"25",0,0,285,0,0,221,0,0,180,0,0,67,221,0,6,20,0,0
"26",0,0,273,0,0,226,0,0,164,0,0,88,218,0,12,18,0,3
"27",0,0,254,0,0,253,0,0,178,0,0,69,214,0,10,20,0,3
"28",0,0,287,0,0,195,0,0,196,0,0,62,209,0,27,13,0,9
"29",0,0,299,0,0,209,0,0,184,0,0,63,190,0,37,11,0,9
"30",0,0,257,0,0,236,0,0,174,0,0,80,203,0,22,20,0,8
"31",0,0,237,0,0,273,0,0,151,0,0,93,209,0,11,19,0,5
"32",0,0,297,0,0,178,0,0,214,0,0,49,0,0,214,0,0,48
"33",0,0,270,0,0,263,0,0,167,0,0,67,213,0,8,13,0,1
"34",0,0,293,0,0,225,0,0,182,0,0,59,0,0,182,0,0,59
"35",0,0,328,0,0,178,0,0,211,0,0,36,0,0,211,0,0,36
"36",0,0,309,0,0,215,0,0,184,0,0,55,0,0,183,0,0,55
"37",0,0,245,0,0,227,0,0,179,0,0,85,223,0,21,16,0,5
"38",0,0,328,0,0,161,0,0,215,0,0,41,0,0,214,0,0,41
"39",0,0,284,0,0,234,0,0,178,0,0,63,0,0,178,0,0,63
"40",0,0,278,0,0,202,0,0,193,0,0,68,235,0,2,23,0,0
"41",0,0,312,0,0,178,0,0,202,0,0,53,0,0,202,0,0,53
"42",0,0,278,0,0,212,0,0,197,0,0,58,219,0,12,19,0,4
"43",0,0,316,0,0,177,0,0,196,0,0,57,0,0,197,0,0,57
"44",0,0,278,0,0,254,0,0,157,0,0,77,209,0,5,18,0,3
"45",0,0,275,0,0,211,0,0,198,0,0,60,0,0,197,0,0,60
"46",0,0,293,0,0,238,0,0,154,0,0,80,200,0,7,25,0,2
"47",0,0,234,0,0,266,0,0,152,0,0,98,182,0,23,28,0,17
"48",0,0,270,0,0,204,0,0,207,0,0,57,213,0,30,17,0,4
"49",0,0,279,0,0,260,0,0,166,0,0,64,0,0,166,0,0,64
"50",0,0,271,0,0,235,0,0,153,0,0,94,200,0,16,26,0,6
"51",0,0,337,0,0,172,0,0,202,0,0,42,0,0,203,0,0,43
"52",0,0,312,0,0,192,0,0,206,0,0,41,0,0,206,0,0,42
"53",0,0,279,0,0,233,0,0,174,0,0,70,0,0,174,0,0,71
"54",0,0,292,0,0,203,0,0,164,0,0,89,187,0,37,17,0,12
"55",0,0,291,0,0,206,0,0,194,0,0,57,213,0,22,12,0,4
"56",0,0,285,0,0,218,0,0,179,0,0,70,202,0,24,17,0,7
"57",0,0,307,0,0,202,0,0,193,0,0,52,210,0,21,11,0,3
"58",0,0,331,0,0,179,0,0,188,0,0,57,0,0,188,0,0,57
"59",0,0,285,0,0,228,0,0,166,0,0,78,219,0,3,16,0,5
"60",0,0,264,0,0,224,0,0,175,0,0,81,187,0,43,14,0,13
"61",0,0,251,0,0,254,0,0,168,0,0,79,195,0,28,16,0,8
"62",0,0,324,0,0,192,0,0,192,0,0,50,0,0,192,0,0,50
"63",0,0,319,0,0,164,0,0,220,0,0,39,0,0,220,0,0,39
"64",0,0,330,0,0,186,0,0,205,0,0,37,0,0,205,0,0,36
"65",0,0,326,0,0,174,0,0,206,0,0,44,0,0,206,0,0,44
"66",0,0,250,0,0,247,0,0,181,0,0,71,218,0,13,16,0,5
"67",0,0,318,0,0,214,0,0,176,0,0,58,198,0,19,11,0,7
