"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",330,0,185,0,0,0,159,0,83,0,0,0,0,0,243,0,0,0
"3",0,0,485,0,0,0,0,0,258,0,0,0,0,0,257,0,0,0
"4",463,0,35,0,0,0,228,0,23,0,0,0,0,0,251,0,0,0
"5",38,0,466,0,0,0,28,0,220,0,0,0,0,0,248,0,0,0
"6",0,0,488,0,0,0,0,0,256,0,0,0,0,0,256,0,0,0
"7",224,0,281,0,0,0,105,0,143,0,0,0,0,0,248,0,0,0
"8",0,0,473,0,0,0,0,0,264,0,0,0,0,0,264,0,0,0
"9",133,0,376,0,0,0,81,0,164,0,0,0,0,0,246,0,0,0
"10",0,0,511,0,0,0,0,0,244,0,0,0,0,0,245,0,0,0
"11",294,0,214,0,0,0,153,0,93,0,0,0,0,0,246,0,0,0
"12",258,0,246,0,0,0,128,0,119,0,0,0,0,0,248,0,0,0
"13",162,0,312,0,0,0,87,0,176,0,0,0,0,0,263,0,0,0
"14",0,0,474,0,0,0,0,0,263,0,0,0,0,0,263,0,0,0
"15",109,0,382,0,0,0,58,0,197,0,0,0,0,0,255,0,0,0
"16",18,0,465,0,0,0,14,0,244,0,0,0,0,0,258,0,0,0
"17",0,0,493,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0
"18",181,0,300,0,0,0,115,0,144,0,0,0,0,0,260,0,0,0
"19",95,0,398,0,0,0,61,0,193,0,0,0,0,0,253,0,0,0
"20",0,0,498,0,0,0,0,0,251,0,0,0,0,0,251,0,0,0
"21",391,0,126,0,0,0,180,0,62,0,0,0,0,0,242,0,0,0
"22",226,0,267,0,0,0,112,0,141,0,0,0,0,0,253,0,0,0
"23",390,0,102,0,0,0,198,0,56,0,0,0,0,0,254,0,0,0
"24",219,0,269,0,0,0,118,0,139,0,0,0,0,0,256,0,0,0
"25",0,0,455,0,0,0,0,0,273,0,0,0,0,0,273,0,0,0
"26",0,0,506,0,0,0,0,0,247,0,0,0,0,0,247,0,0,0
"27",50,0,432,0,0,0,25,0,233,0,0,0,0,0,259,0,0,0
"28",0,0,483,0,0,0,0,0,259,0,0,0,0,0,259,0,0,0
"29",339,0,170,0,0,0,161,0,85,0,0,0,0,0,246,0,0,0
"30",250,0,257,0,0,0,134,0,112,0,0,0,0,0,246,0,0,0
"31",397,0,92,0,0,0,192,0,63,0,0,0,0,0,255,0,0,0
"32",62,0,455,0,0,0,30,0,212,0,0,0,0,0,242,0,0,0
"33",199,0,290,0,0,0,87,0,168,0,0,0,0,0,256,0,0,0
"34",116,0,393,0,0,0,50,0,195,0,0,0,0,0,245,0,0,0
"35",279,0,230,0,0,0,121,0,125,0,0,0,0,0,246,0,0,0
"36",0,0,518,0,0,0,0,0,241,0,0,0,0,0,241,0,0,0
"37",215,0,301,0,0,0,95,0,147,0,0,0,0,0,242,0,0,0
"38",0,0,492,0,0,0,0,0,254,0,0,0,0,0,254,0,0,0
"39",0,0,493,0,0,0,0,0,254,0,0,0,0,0,253,0,0,0
"40",343,0,182,0,0,0,152,0,85,0,0,0,0,0,238,0,0,0
"41",220,0,274,0,0,0,122,0,132,0,0,0,0,0,253,0,0,0
"42",217,0,288,0,0,0,80,0,167,0,0,0,0,0,248,0,0,0
"43",144,0,355,0,0,0,73,0,176,0,0,0,0,0,250,0,0,0
"44",237,0,249,0,0,0,136,0,122,0,0,0,0,0,257,0,0,0
"45",0,0,512,0,0,0,0,0,244,0,0,0,0,0,244,0,0,0
"46",250,0,261,0,0,0,115,0,129,0,0,0,0,0,244,0,0,0
"47",232,0,243,0,0,0,111,0,152,0,0,0,0,0,262,0,0,0
"48",0,0,487,0,0,0,0,0,256,0,0,0,0,0,256,0,0,0
"49",0,0,493,0,0,0,0,0,254,0,0,0,0,0,253,0,0,0
"50",0,0,505,0,0,0,0,0,247,0,0,0,0,0,248,0,0,0
"51",366,0,116,0,0,0,192,0,66,0,0,0,0,0,258,0,0,0
"52",297,0,196,0,0,0,149,0,104,0,0,0,0,0,253,0,0,0
"53",195,0,306,0,0,0,93,0,157,0,0,0,0,0,250,0,0,0
"54",353,0,154,0,0,0,166,0,81,0,0,0,0,0,247,0,0,0
"55",212,0,278,0,0,0,111,0,145,0,0,0,0,0,255,0,0,0
"56",222,0,271,0,0,0,118,0,137,0,0,0,0,0,254,0,0,0
"57",86,0,404,0,0,0,52,0,203,0,0,0,0,0,255,0,0,0
"58",0,0,495,0,0,0,0,0,252,0,0,0,0,0,252,0,0,0
"59",339,0,150,0,0,0,159,0,97,0,0,0,0,0,256,0,0,0
"60",290,0,210,0,0,0,143,0,106,0,0,0,0,0,250,0,0,0
"61",0,0,515,0,0,0,0,0,242,0,0,0,0,0,243,0,0,0
"62",164,0,316,0,0,0,102,0,158,0,0,0,0,0,260,0,0,0
"63",0,0,516,0,0,0,0,0,242,0,0,0,0,0,242,0,0,0
"64",0,0,512,0,0,0,0,0,244,0,0,0,0,0,244,0,0,0
"65",0,0,496,0,0,0,0,0,252,0,0,0,0,0,252,0,0,0
"66",0,0,502,0,0,0,0,0,249,0,0,0,0,0,249,0,0,0
"67",195,0,299,0,0,0,105,0,147,0,0,0,0,0,253,0,0,0
"68",168,0,323,0,0,0,77,0,177,0,0,0,0,0,255,0,0,0
"69",172,0,313,0,0,0,95,0,163,0,0,0,0,0,258,0,0,0
"70",0,0,518,0,0,0,0,0,241,0,0,0,0,0,241,0,0,0
"71",0,0,491,0,0,0,0,0,254,0,0,0,0,0,254,0,0,0
"72",300,0,178,0,0,0,179,0,83,0,0,0,0,0,261,0,0,0
"73",0,0,519,0,0,0,0,0,240,0,0,0,0,0,241,0,0,0
"74",0,0,493,0,0,0,0,0,254,0,0,0,0,0,254,0,0,0
"75",423,0,85,0,0,0,201,0,45,0,0,0,0,0,246,0,0,0
"76",351,0,163,0,0,0,164,0,79,0,0,0,0,0,243,0,0,0
"77",0,0,537,0,0,0,0,0,231,0,0,0,0,0,231,0,0,0
"78",0,0,496,0,0,0,0,0,252,0,0,0,0,0,252,0,0,0
"79",340,0,185,0,0,0,145,0,92,0,0,0,0,0,237,0,0,0
"80",0,0,502,0,0,0,0,0,249,0,0,0,0,0,249,0,0,0
"81",0,0,467,0,0,0,0,0,267,0,0,0,0,0,267,0,0,0
"82",109,0,409,0,0,0,64,0,178,0,0,0,0,0,242,0,0,0
"83",0,0,485,0,0,0,0,0,257,0,0,0,0,0,257,0,0,0
"84",166,0,336,0,0,0,90,0,159,0,0,0,0,0,249,0,0,0
"85",0,0,491,0,0,0,0,0,254,0,0,0,0,0,254,0,0,0
"86",0,0,529,0,0,0,0,0,236,0,0,0,0,0,236,0,0,0
"87",0,0,507,0,0,0,0,0,247,0,0,0,0,0,247,0,0,0
"88",0,0,453,0,0,0,0,0,274,0,0,0,0,0,273,0,0,0
"89",354,0,144,0,0,0,178,0,74,0,0,0,0,0,251,0,0,0
"90",439,0,63,0,0,0,216,0,33,0,0,0,0,0,249,0,0,0
"91",341,0,141,0,0,0,177,0,82,0,0,0,0,0,259,0,0,0
"92",0,0,509,0,0,0,0,0,245,0,0,0,0,0,246,0,0,0
"93",0,0,485,0,0,0,0,0,258,0,0,0,0,0,258,0,0,0
"94",229,0,273,0,0,0,118,0,131,0,0,0,0,0,250,0,0,0
"95",129,0,393,0,0,0,48,0,190,0,0,0,0,0,239,0,0,0
"96",62,0,420,0,0,0,30,0,230,0,0,0,0,0,259,0,0,0
"97",0,0,491,0,0,0,0,0,254,0,0,0,0,0,254,0,0,0
"98",385,0,136,0,0,0,183,0,56,0,0,0,0,0,239,0,0,0
"99",161,0,347,0,0,0,67,0,179,0,0,0,0,0,246,0,0,0
"100",0,0,477,0,0,0,0,0,261,0,0,0,0,0,261,0,0,0
"101",0,0,528,0,0,0,0,0,236,0,0,0,0,0,236,0,0,0
