"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",286,0,19,201,0,3,150,0,18,76,0,1,0,0,227,0,0,18
"3",0,0,355,0,0,157,0,0,208,0,0,37,0,0,208,0,0,37
"4",0,0,314,0,0,213,0,0,177,0,0,59,0,0,177,0,0,60
"5",0,0,316,0,0,187,0,0,201,0,0,48,0,0,201,0,0,48
"6",236,0,36,214,0,9,147,0,28,74,0,4,0,0,229,0,0,22
"7",224,0,72,160,0,35,130,0,56,60,0,7,0,0,228,0,0,27
"8",164,0,140,143,0,70,102,0,84,39,0,16,0,0,213,0,0,29
"9",219,0,49,197,0,27,124,0,54,68,0,6,0,0,216,0,0,36
"10",247,0,27,217,0,11,163,0,11,72,0,3,0,0,215,0,0,34
"11",264,0,51,166,0,18,165,0,21,62,0,3,0,0,230,0,0,21
"12",264,0,33,200,0,5,165,0,19,62,0,3,0,0,228,0,0,22
"13",226,0,66,169,0,37,131,0,59,55,0,6,0,0,226,0,0,25
"14",0,0,317,0,0,190,0,0,202,0,0,45,0,0,202,0,0,45
"15",257,0,2,253,0,1,162,0,4,77,0,0,0,0,223,0,0,21
"16",240,0,41,192,0,12,161,0,34,59,0,3,0,0,238,0,0,20
"17",244,0,46,189,0,21,152,0,27,67,0,4,0,0,228,0,0,23
"18",210,0,49,224,0,14,149,0,34,64,0,4,0,0,222,0,0,29
"19",177,0,91,193,0,51,111,0,71,55,0,7,0,0,218,0,0,25
"20",239,0,47,182,0,20,176,0,19,58,0,4,0,0,235,0,0,21
"21",251,0,13,249,0,7,165,0,12,60,0,1,0,0,219,0,0,21
"22",236,0,17,199,0,29,163,0,25,61,0,10,0,0,223,0,0,37
"23",0,0,293,0,0,191,0,0,203,0,0,55,0,0,203,0,0,55
"24",258,0,14,243,0,7,161,0,6,70,0,3,0,0,219,0,0,20
"25",163,0,81,194,0,38,111,0,68,63,0,18,0,0,210,0,0,53
"26",225,0,66,195,0,24,136,0,52,49,0,6,0,0,223,0,0,22
"27",0,0,304,0,0,204,0,0,197,0,0,49,0,0,197,0,0,49
"28",0,0,335,0,0,170,0,0,205,0,0,42,0,0,205,0,0,42
"29",195,0,60,227,0,21,137,0,42,65,0,5,0,0,227,0,0,22
"30",213,0,56,243,0,24,113,0,33,76,0,10,0,0,196,0,0,36
"31",228,0,50,171,0,34,147,0,40,65,0,7,0,0,230,0,0,28
"32",203,0,62,209,0,17,141,0,29,81,0,4,0,0,231,0,0,24
"33",219,0,46,184,0,31,168,0,34,52,0,5,0,0,236,0,0,25
"34",0,0,334,0,0,193,0,0,198,0,0,38,0,0,198,0,0,39
"35",198,0,7,258,0,3,179,0,3,85,0,1,0,0,244,0,0,22
"36",0,0,290,0,0,219,0,0,191,0,0,55,0,0,190,0,0,55
"37",223,0,50,188,0,25,153,0,24,75,0,5,0,0,230,0,0,27
"38",266,0,22,177,0,24,167,0,21,64,0,4,0,0,229,0,0,27
"39",0,0,336,0,0,185,0,0,202,0,0,37,0,0,203,0,0,37
"40",229,0,19,230,0,10,173,0,16,66,0,1,0,0,241,0,0,15
"41",0,0,334,0,0,182,0,0,201,0,0,40,0,0,202,0,0,40
"42",0,0,334,0,0,157,0,0,206,0,0,49,0,0,205,0,0,49
"43",0,0,313,0,0,210,0,0,189,0,0,49,0,0,189,0,0,49
"44",185,0,75,224,0,18,122,0,54,68,0,4,0,0,226,0,0,22
"45",236,0,66,180,0,28,140,0,40,59,0,5,0,0,222,0,0,23
"46",0,0,298,0,0,193,0,0,204,0,0,50,0,0,205,0,0,50
"47",0,0,353,0,0,154,0,0,213,0,0,34,0,0,213,0,0,34
"48",268,0,4,225,0,1,176,0,4,71,0,0,0,0,235,0,0,17
"49",141,0,129,158,0,81,90,0,80,53,0,23,0,0,200,0,0,46
"50",239,0,14,240,0,6,135,0,10,105,0,0,0,0,215,0,0,35
"51",210,0,94,185,0,44,113,0,53,57,0,11,0,0,199,0,0,34
"52",0,0,307,0,0,187,0,0,204,0,0,49,0,0,204,0,0,49
"53",219,0,13,238,0,13,154,0,15,87,0,2,0,0,223,0,0,36
"54",255,0,27,195,0,9,170,0,19,65,0,3,0,0,239,0,0,18
"55",0,0,298,0,0,195,0,0,208,0,0,46,0,0,208,0,0,46
"56",172,0,91,220,0,34,100,0,51,76,0,14,0,0,200,0,0,43
"57",0,0,276,0,0,193,0,0,209,0,0,57,0,0,209,0,0,57
"58",269,0,19,201,0,5,170,0,19,63,0,1,0,0,234,0,0,20
"59",183,0,85,181,0,41,146,0,55,46,0,8,0,0,220,0,0,34
"60",0,0,314,0,0,160,0,0,220,0,0,43,0,0,220,0,0,43
"61",0,0,329,0,0,191,0,0,191,0,0,48,0,0,191,0,0,49
"62",0,0,288,0,0,229,0,0,179,0,0,62,0,0,179,0,0,63
"63",0,0,278,0,0,215,0,0,180,0,0,74,0,0,179,0,0,74
"64",166,0,128,179,0,38,100,0,83,56,0,6,0,0,223,0,0,22
"65",0,0,359,0,0,163,0,0,200,0,0,39,0,0,200,0,0,39
"66",206,0,59,226,0,22,122,0,43,70,0,8,0,0,216,0,0,28
"67",235,0,13,249,0,9,153,0,14,80,0,1,0,0,227,0,0,19
"68",0,0,330,0,0,167,0,0,206,0,0,45,0,0,206,0,0,45
"69",0,0,309,0,0,185,0,0,201,0,0,52,0,0,201,0,0,52
"70",256,0,30,192,0,31,166,0,15,61,0,5,0,0,222,0,0,24
"71",0,0,290,0,0,243,0,0,167,0,0,67,0,0,167,0,0,66
"72",198,0,42,260,0,13,122,0,29,83,0,9,0,0,199,0,0,44
"73",195,0,82,187,0,34,116,0,54,69,0,11,0,0,218,0,0,31
"74",227,0,55,192,0,17,148,0,36,69,0,4,0,0,233,0,0,22
"75",259,0,18,204,0,7,172,0,12,71,0,1,0,0,240,0,0,17
"76",0,0,320,0,0,168,0,0,204,0,0,52,0,0,205,0,0,52
"77",0,0,343,0,0,164,0,0,208,0,0,38,0,0,208,0,0,38
"78",0,0,303,0,0,183,0,0,213,0,0,43,0,0,214,0,0,43
"79",198,0,60,200,0,22,152,0,41,61,0,7,0,0,240,0,0,21
"80",246,0,26,192,0,23,154,0,25,72,0,4,0,0,221,0,0,35
"81",280,0,17,191,0,3,188,0,14,52,0,0,0,0,238,0,0,16
"82",200,0,65,203,0,33,143,0,41,61,0,5,0,0,230,0,0,19
"83",222,0,71,220,0,17,128,0,44,59,0,5,0,0,211,0,0,25
"84",239,0,9,236,0,10,171,0,6,76,0,1,0,0,233,0,0,21
"85",0,0,361,0,0,149,0,0,209,0,0,36,0,0,209,0,0,36
"86",184,0,100,163,0,41,119,0,68,53,0,15,0,0,224,0,0,31
"87",0,0,359,0,0,150,0,0,197,0,0,48,0,0,197,0,0,48
"88",237,0,48,219,0,18,141,0,32,61,0,5,0,0,207,0,0,32
"89",164,0,86,185,0,44,118,0,62,69,0,11,0,0,222,0,0,38
"90",265,0,13,221,0,11,168,0,12,64,0,2,0,0,218,0,0,28
"91",0,0,311,0,0,192,0,0,199,0,0,49,0,0,199,0,0,49
"92",243,0,25,217,0,19,134,0,22,88,0,5,0,0,219,0,0,29
"93",0,0,293,0,0,207,0,0,193,0,0,57,0,0,193,0,0,57
"94",0,0,303,0,0,173,0,0,210,0,0,52,0,0,211,0,0,51
"95",173,0,121,148,0,71,108,0,81,41,0,14,0,0,216,0,0,28
"96",0,0,309,0,0,185,0,0,217,0,0,36,0,0,217,0,0,36
"97",252,0,32,223,0,12,136,0,26,75,0,5,0,0,213,0,0,28
"98",254,0,52,167,0,14,170,0,29,54,0,5,0,0,240,0,0,17
"99",233,0,12,251,0,5,173,0,6,70,0,1,0,0,231,0,0,20
"100",0,0,338,0,0,198,0,0,191,0,0,41,0,0,191,0,0,41
"101",0,0,285,0,0,200,0,0,197,0,0,61,0,0,198,0,0,61
