"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",140,0,7,318,0,12,63,0,7,185,0,6,0,0,160,0,0,102
"3",146,0,119,153,0,92,69,0,72,59,0,47,0,0,164,0,0,81
"4",188,0,42,247,0,25,102,0,20,114,0,13,0,0,161,0,0,88
"5",76,0,78,240,0,111,44,0,38,112,0,52,0,0,114,0,0,133
"6",153,0,41,262,0,38,96,0,18,126,0,12,0,0,148,0,0,105
"7",0,0,196,0,0,296,0,0,112,0,0,142,0,0,112,0,0,142
"8",152,0,5,333,0,25,100,0,5,132,0,6,0,0,138,0,0,104
"9",70,0,155,137,0,129,54,0,77,61,0,63,0,0,147,0,0,108
"10",0,0,221,0,0,275,0,0,123,0,0,129,0,0,124,0,0,128
"11",30,0,62,179,0,225,21,0,57,87,0,87,0,0,98,0,0,154
"12",0,0,215,0,0,275,0,0,135,0,0,121,0,0,134,0,0,120
"13",77,0,54,229,0,115,52,0,26,133,0,51,0,0,112,0,0,151
"14",0,0,227,0,0,292,0,0,124,0,0,116,0,0,124,0,0,116
"15",98,0,55,269,0,78,75,0,24,124,0,28,0,0,117,0,0,133
"16",95,0,153,141,0,114,44,0,92,56,0,56,0,0,156,0,0,92
"17",92,0,97,172,0,145,54,0,50,73,0,71,0,0,119,0,0,127
"18",97,0,24,330,0,55,59,0,15,156,0,17,0,0,120,0,0,127
"19",153,0,25,313,0,19,99,0,14,119,0,13,0,0,147,0,0,98
"20",0,0,205,0,0,292,0,0,121,0,0,129,0,0,122,0,0,130
"21",149,0,36,274,0,44,75,0,31,125,0,18,0,0,161,0,0,88
"22",0,0,252,0,0,213,0,0,151,0,0,116,0,0,151,0,0,117
"23",0,0,485,0,0,0,0,0,257,0,0,0,0,0,258,0,0,0
"24",0,0,253,0,0,247,0,0,147,0,0,102,0,0,148,0,0,102
"25",111,0,46,287,0,59,75,0,19,120,0,36,0,0,100,0,0,148
"26",0,0,194,0,0,304,0,0,104,0,0,147,0,0,104,0,0,147
"27",0,0,177,0,0,329,0,0,93,0,0,153,0,0,93,0,0,154
"28",206,0,29,217,0,26,118,0,19,112,0,11,0,0,187,0,0,74
"29",222,0,56,212,0,28,118,0,26,87,0,9,0,0,167,0,0,74
"30",79,0,25,334,0,55,49,0,19,156,0,28,0,0,110,0,0,143
"31",155,0,55,220,0,71,92,0,40,86,0,32,0,0,136,0,0,114
"32",0,0,0,111,0,399,0,0,0,54,0,192,0,0,0,0,0,245
"33",162,0,16,260,0,42,108,0,9,133,0,11,0,0,161,0,0,99
"34",58,0,253,48,0,121,42,0,142,16,0,61,0,0,180,0,0,81
"35",0,0,314,0,0,228,0,0,141,0,0,87,0,0,141,0,0,87
"36",205,0,23,251,0,25,110,0,7,126,0,4,0,0,160,0,0,88
"37",92,0,52,249,0,102,54,0,29,136,0,33,0,0,131,0,0,121
"38",210,0,105,130,0,40,114,0,56,62,0,25,0,0,190,0,0,68
"39",120,0,44,275,0,57,68,0,26,130,0,29,0,0,128,0,0,124
"40",0,0,219,0,0,258,0,0,144,0,0,118,0,0,144,0,0,118
"41",230,0,80,153,0,35,130,0,43,67,0,11,0,0,200,0,0,50
"42",123,0,97,226,0,67,71,0,38,109,0,24,0,0,161,0,0,83
"43",0,0,188,0,0,297,0,0,107,0,0,150,0,0,107,0,0,150
"44",0,0,0,0,0,472,0,0,0,0,0,264,0,0,0,0,0,264
"45",0,0,309,0,0,191,0,0,174,0,0,76,0,0,174,0,0,76
"46",190,0,26,234,0,17,115,0,16,130,0,5,0,0,181,0,0,86
"47",0,0,336,0,0,156,0,0,172,0,0,83,0,0,172,0,0,83
"48",0,0,148,0,0,349,0,0,92,0,0,160,0,0,91,0,0,160
"49",105,0,62,272,0,70,50,0,34,115,0,46,0,0,116,0,0,129
"50",0,0,506,0,0,0,0,0,247,0,0,0,0,0,247,0,0,0
"51",129,0,52,261,0,57,70,0,29,124,0,27,0,0,151,0,0,99
"52",0,0,206,0,0,294,0,0,124,0,0,126,0,0,124,0,0,126
"53",36,0,107,149,0,206,14,0,90,49,0,98,0,0,116,0,0,135
"54",81,0,38,314,0,60,60,0,31,137,0,26,0,0,138,0,0,117
"55",127,0,21,300,0,37,57,0,20,161,0,18,0,0,134,0,0,124
"56",0,0,283,0,0,199,0,0,173,0,0,86,0,0,174,0,0,86
"57",186,0,39,250,0,34,101,0,36,95,0,13,0,0,178,0,0,68
"58",165,0,46,247,0,53,87,0,12,123,0,22,0,0,132,0,0,113
"59",0,0,305,0,0,201,0,0,160,0,0,88,0,0,159,0,0,87
"60",0,0,134,0,0,365,0,0,88,0,0,164,0,0,88,0,0,163
"61",86,0,24,343,0,55,48,0,16,160,0,23,0,0,95,0,0,151
"62",125,0,106,148,0,112,65,0,72,69,0,49,0,0,165,0,0,89
"63",109,0,14,348,0,17,74,0,9,165,0,8,0,0,135,0,0,121
"64",122,0,29,329,0,23,73,0,13,152,0,11,0,0,148,0,0,101
"65",0,0,212,0,0,281,0,0,131,0,0,122,0,0,131,0,0,122
"66",0,0,139,0,0,353,0,0,79,0,0,175,0,0,79,0,0,175
"67",161,0,72,207,0,44,95,0,31,114,0,19,0,0,182,0,0,78
"68",0,0,113,0,0,372,0,0,75,0,0,183,0,0,74,0,0,183
"69",0,0,225,0,0,259,0,0,131,0,0,127,0,0,131,0,0,127
"70",0,0,246,0,0,291,0,0,132,0,0,100,0,0,131,0,0,100
"71",128,0,18,297,0,47,80,0,24,130,0,21,0,0,144,0,0,111
"72",61,0,29,354,0,54,28,0,26,165,0,31,0,0,110,0,0,142
"73",0,0,177,0,0,311,0,0,114,0,0,142,0,0,114,0,0,142
"74",105,0,50,266,0,57,81,0,29,128,0,23,0,0,150,0,0,111
"75",141,0,56,252,0,64,86,0,31,106,0,21,0,0,141,0,0,102
"76",0,0,307,0,0,199,0,0,179,0,0,67,0,0,180,0,0,67
"77",116,0,50,281,0,64,69,0,32,121,0,21,0,0,154,0,0,89
"78",217,0,178,64,0,59,115,0,79,30,0,18,0,0,188,0,0,52
"79",84,0,61,247,0,90,57,0,31,139,0,31,0,0,125,0,0,133
"80",0,0,239,0,0,260,0,0,135,0,0,115,0,0,135,0,0,115
"81",101,0,33,306,0,48,72,0,33,134,0,17,0,0,164,0,0,93
"82",0,0,80,0,0,402,0,0,48,0,0,211,0,0,48,0,0,210
"83",0,0,94,0,0,399,0,0,63,0,0,190,0,0,63,0,0,190
"84",198,0,10,294,0,5,106,0,4,135,0,2,0,0,173,0,0,74
"85",193,0,58,176,0,70,98,0,35,91,0,27,0,0,156,0,0,95
"86",200,0,30,284,0,16,95,0,14,118,0,8,0,0,178,0,0,57
"87",0,0,479,0,0,0,0,0,261,0,0,0,0,0,260,0,0,0
"88",208,0,54,220,0,38,81,0,47,93,0,19,0,0,161,0,0,80
"89",0,0,202,0,0,291,0,0,111,0,0,142,0,0,111,0,0,143
"90",249,0,5,238,0,6,151,0,3,95,0,1,0,0,179,0,0,72
"91",0,0,215,0,0,270,0,0,129,0,0,127,0,0,130,0,0,128
"92",0,0,304,0,0,185,0,0,173,0,0,83,0,0,173,0,0,82
"93",0,0,72,0,0,418,0,0,58,0,0,197,0,0,58,0,0,198
"94",111,0,32,331,0,30,55,0,30,149,0,14,0,0,160,0,0,87
"95",142,0,69,239,0,29,92,0,39,112,0,20,0,0,187,0,0,75
"96",118,0,1,363,0,3,90,0,1,166,0,2,0,0,137,0,0,120
"97",0,0,219,0,0,258,0,0,132,0,0,129,0,0,133,0,0,129
"98",162,0,24,301,0,19,91,0,11,134,0,11,0,0,137,0,0,110
"99",0,0,269,0,0,230,0,0,152,0,0,98,0,0,153,0,0,98
"100",153,0,6,356,0,14,82,0,2,143,0,8,0,0,135,0,0,100
"101",119,0,44,279,0,48,82,0,29,124,0,20,0,0,161,0,0,94
