"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",0,0,120,0,0,353,0,0,101,0,0,162,0,0,101,0,0,162
"3",84,0,19,367,0,31,56,0,19,160,0,15,0,0,143,0,0,106
"4",70,0,38,278,0,107,38,0,37,142,0,37,0,0,108,0,0,145
"5",67,0,17,359,0,50,50,0,11,174,0,19,0,0,123,0,0,131
"6",0,0,155,0,0,322,0,0,114,0,0,147,0,0,113,0,0,147
"7",88,0,5,388,0,20,60,0,4,178,0,6,0,0,125,0,0,125
"8",0,0,161,0,0,312,0,0,88,0,0,176,0,0,88,0,0,176
"9",78,0,7,436,0,5,55,0,2,176,0,2,0,0,155,0,0,82
"10",95,0,18,379,0,25,62,0,12,156,0,12,0,0,133,0,0,109
"11",64,0,1,460,0,3,37,0,1,197,0,2,0,0,143,0,0,92
"12",121,0,1,366,0,12,75,0,2,171,0,2,0,0,166,0,0,84
"13",88,0,0,402,0,0,65,0,0,189,0,1,0,0,154,0,0,100
"14",0,0,173,0,0,324,0,0,95,0,0,158,0,0,94,0,0,158
"15",53,0,13,357,0,45,51,0,16,179,0,20,0,0,145,0,0,122
"16",62,0,4,407,0,19,45,0,6,196,0,6,0,0,139,0,0,115
"17",58,0,18,409,0,61,35,0,12,159,0,20,0,0,114,0,0,112
"18",99,0,2,390,0,3,70,0,4,179,0,1,0,0,175,0,0,78
"19",0,0,141,0,0,367,0,0,88,0,0,158,0,0,88,0,0,158
"20",0,0,162,0,0,327,0,0,100,0,0,155,0,0,100,0,0,155
"21",82,0,11,403,0,12,47,0,4,186,0,8,0,0,162,0,0,85
"22",93,0,9,375,0,30,63,0,10,160,0,13,0,0,138,0,0,108
"23",0,0,207,0,0,287,0,0,124,0,0,129,0,0,124,0,0,128
"24",63,0,5,438,0,4,51,0,4,187,0,4,0,0,139,0,0,106
"25",83,0,3,389,0,7,61,0,1,194,0,2,0,0,146,0,0,113
"26",0,0,100,0,0,392,0,0,78,0,0,177,0,0,77,0,0,177
"27",85,0,57,281,0,77,66,0,28,122,0,34,0,0,150,0,0,99
"28",84,0,14,377,0,27,36,0,11,188,0,15,0,0,146,0,0,103
"29",62,0,11,388,0,41,46,0,9,180,0,13,0,0,137,0,0,112
"30",0,0,162,0,0,353,0,0,90,0,0,153,0,0,89,0,0,153
"31",0,0,204,0,0,298,0,0,121,0,0,128,0,0,121,0,0,128
"32",108,0,10,381,0,20,64,0,7,165,0,5,0,0,149,0,0,91
"33",0,0,146,0,0,351,0,0,99,0,0,153,0,0,100,0,0,153
"34",55,0,1,429,0,10,40,0,0,211,0,2,0,0,138,0,0,114
"35",0,0,99,0,0,397,0,0,76,0,0,177,0,0,75,0,0,178
"36",0,0,67,0,0,445,0,0,47,0,0,198,0,0,47,0,0,198
"37",54,0,9,404,0,10,63,0,7,182,0,9,0,0,159,0,0,102
"38",127,0,11,337,0,29,74,0,9,154,0,12,0,0,147,0,0,101
"39",0,0,206,0,0,323,0,0,114,0,0,122,0,0,113,0,0,121
"40",0,0,104,0,0,378,0,0,83,0,0,176,0,0,84,0,0,176
"41",56,0,16,394,0,47,37,0,18,172,0,17,0,0,117,0,0,127
"42",94,0,3,404,0,17,53,0,4,182,0,2,0,0,133,0,0,108
"43",83,0,18,359,0,27,48,0,17,175,0,16,0,0,147,0,0,110
"44",70,0,19,410,0,20,46,0,11,174,0,10,0,0,129,0,0,111
"45",0,0,181,0,0,365,0,0,88,0,0,139,0,0,88,0,0,140
"46",0,0,85,0,0,424,0,0,48,0,0,198,0,0,48,0,0,197
"47",0,0,189,0,0,308,0,0,111,0,0,140,0,0,111,0,0,140
"48",68,0,1,416,0,4,45,0,1,209,0,1,0,0,150,0,0,106
"49",87,0,3,407,0,7,70,0,3,174,0,2,0,0,161,0,0,88
"50",65,0,0,451,0,4,34,0,2,201,0,4,0,0,140,0,0,101
"51",100,0,33,311,0,47,49,0,13,174,0,19,0,0,144,0,0,111
"52",57,0,19,391,0,34,50,0,11,173,0,16,0,0,129,0,0,121
"53",76,0,8,385,0,26,52,0,6,183,0,12,0,0,158,0,0,95
"54",68,0,18,407,0,19,48,0,6,183,0,7,0,0,101,0,0,142
"55",80,0,5,399,0,16,43,0,5,194,0,8,0,0,123,0,0,127
"56",55,0,22,382,0,53,39,0,10,173,0,23,0,0,129,0,0,115
"57",76,0,14,363,0,29,61,0,14,174,0,10,0,0,136,0,0,123
"58",0,0,71,0,0,425,0,0,45,0,0,207,0,0,46,0,0,207
"59",84,0,2,412,0,15,48,0,5,185,0,5,0,0,118,0,0,125
"60",71,0,15,377,0,26,58,0,5,182,0,11,0,0,119,0,0,138
"61",96,0,20,361,0,25,58,0,10,169,0,13,0,0,143,0,0,107
"62",99,0,24,326,0,32,53,0,17,176,0,13,0,0,139,0,0,120
"63",0,0,189,0,0,308,0,0,108,0,0,144,0,0,107,0,0,144
"64",75,0,15,372,0,15,51,0,5,199,0,6,0,0,156,0,0,106
"65",0,0,133,0,0,383,0,0,71,0,0,171,0,0,72,0,0,171
