"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",0,0,90,0,0,420,0,0,86,0,0,159,0,0,86,0,0,158
"3",0,0,74,0,0,424,0,0,74,0,0,177,0,0,74,0,0,177
"4",0,0,41,0,0,463,0,0,37,0,0,211,190,0,4,49,0,6
"5",0,0,31,0,0,459,0,0,34,0,0,221,194,0,1,51,0,8
"6",0,0,85,0,0,422,0,0,87,0,0,160,0,0,87,0,0,159
"7",0,0,30,0,0,486,0,0,36,0,0,207,183,0,1,54,0,3
"8",0,0,107,0,0,395,0,0,94,0,0,156,0,0,93,0,0,156
"9",0,0,31,0,0,482,0,0,34,0,0,209,186,0,6,46,0,6
"10",0,0,88,0,0,412,0,0,73,0,0,177,0,0,73,0,0,177
"11",0,0,107,0,0,397,0,0,85,0,0,162,0,0,85,0,0,162
"12",0,0,99,0,0,412,0,0,92,0,0,154,0,0,92,0,0,153
"13",0,0,35,0,0,475,0,0,39,0,0,206,184,0,5,48,0,9
"14",0,0,27,0,0,462,0,0,40,0,0,215,193,0,7,53,0,4
"15",0,0,48,0,0,453,0,0,40,0,0,210,197,0,0,50,0,1
"16",0,0,141,0,0,345,0,0,118,0,0,139,0,0,118,0,0,139
"17",0,0,50,0,0,454,0,0,36,0,0,212,202,0,5,37,0,3
"18",0,0,111,0,0,390,0,0,106,0,0,144,0,0,105,0,0,144
"19",0,0,35,0,0,474,0,0,43,0,0,202,185,0,5,47,0,9
"20",0,0,80,0,0,434,0,0,78,0,0,166,0,0,77,0,0,166
"21",0,0,38,0,0,479,0,0,42,0,0,200,181,0,4,53,0,5
"22",0,0,111,0,0,402,0,0,97,0,0,147,0,0,97,0,0,147
"23",0,0,105,0,0,392,0,0,88,0,0,164,0,0,87,0,0,164
"24",0,0,33,0,0,456,0,0,39,0,0,217,187,0,5,58,0,6
"25",0,0,103,0,0,393,0,0,99,0,0,153,0,0,99,0,0,154
"26",0,0,28,0,0,482,0,0,32,0,0,213,182,0,2,55,0,5
"27",0,0,23,0,0,530,0,0,27,0,0,197,169,0,2,41,0,11
"28",0,0,139,0,0,369,0,0,105,0,0,140,0,0,106,0,0,140
"29",0,0,31,0,0,495,0,0,34,0,0,204,181,0,1,52,0,3
"30",0,0,35,0,0,456,0,0,35,0,0,219,201,0,3,46,0,3
"31",0,0,28,0,0,486,0,0,31,0,0,211,186,0,1,55,0,1
"32",0,0,80,0,0,418,0,0,76,0,0,175,0,0,76,0,0,175
"33",0,0,33,0,0,446,0,0,47,0,0,214,200,0,3,46,0,11
"34",0,0,31,0,0,467,0,0,36,0,0,215,173,0,5,65,0,8
"35",0,0,24,0,0,463,0,0,38,0,0,219,199,0,4,46,0,8
"36",0,0,29,0,0,467,0,0,39,0,0,213,197,0,1,54,0,0
"37",0,0,113,0,0,382,0,0,99,0,0,153,0,0,99,0,0,154
"38",0,0,27,0,0,488,0,0,33,0,0,210,183,0,1,58,0,1
"39",0,0,105,0,0,411,0,0,89,0,0,153,0,0,89,0,0,153
"40",0,0,37,0,0,467,0,0,44,0,0,204,195,0,5,41,0,7
"41",0,0,27,0,0,478,0,0,37,0,0,210,202,0,3,38,0,4
"42",0,0,34,0,0,479,0,0,43,0,0,200,185,0,5,48,0,5
"43",0,0,41,0,0,464,0,0,41,0,0,206,179,0,10,49,0,10
"44",0,0,23,0,0,466,0,0,33,0,0,221,200,0,2,48,0,5
"45",0,0,89,0,0,371,0,0,93,0,0,177,0,0,92,0,0,177
"46",0,0,43,0,0,458,0,0,47,0,0,203,197,0,2,49,0,1
"47",0,0,38,0,0,465,0,0,44,0,0,204,192,0,2,51,0,3
"48",0,0,58,0,0,453,0,0,61,0,0,183,0,0,61,0,0,184
"49",0,0,45,0,0,454,0,0,49,0,0,201,186,0,8,50,0,6
"50",0,0,36,0,0,481,0,0,45,0,0,197,186,0,2,47,0,6
"51",0,0,118,0,0,367,0,0,103,0,0,155,0,0,103,0,0,154
"52",0,0,108,0,0,381,0,0,103,0,0,151,0,0,104,0,0,152
"53",0,0,36,0,0,467,0,0,36,0,0,211,196,0,3,48,0,2
"54",0,0,39,0,0,449,0,0,45,0,0,211,184,0,6,57,0,9
"55",0,0,32,0,0,459,0,0,43,0,0,211,195,0,4,45,0,11
"56",0,0,96,0,0,397,0,0,89,0,0,164,0,0,89,0,0,165
"57",0,0,32,0,0,455,0,0,33,0,0,224,207,0,2,43,0,4
"58",0,0,36,0,0,443,0,0,39,0,0,221,197,0,3,57,0,4
"59",0,0,25,0,0,487,0,0,38,0,0,206,195,0,1,44,0,2
"60",0,0,35,0,0,470,0,0,38,0,0,210,192,0,1,53,0,1
"61",0,0,99,0,0,406,0,0,93,0,0,155,0,0,92,0,0,155
"62",0,0,30,0,0,479,0,0,41,0,0,204,184,0,6,48,0,7
"63",0,0,94,0,0,402,0,0,96,0,0,156,0,0,96,0,0,156
"64",0,0,43,0,0,470,0,0,44,0,0,199,190,0,1,49,0,3
"65",0,0,49,0,0,435,0,0,47,0,0,211,191,0,6,50,0,11
"66",0,0,44,0,0,458,0,0,44,0,0,205,190,0,2,50,0,6
"67",0,0,87,0,0,405,0,0,85,0,0,169,0,0,86,0,0,168
