"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",135,0,132,146,0,60,76,0,75,85,0,27,0,0,190,0,0,73
"3",0,0,288,0,0,217,0,0,157,0,0,91,0,0,157,0,0,91
"4",189,0,101,169,0,67,98,0,40,80,0,19,0,0,176,0,0,61
"5",0,0,241,0,0,256,0,0,159,0,0,92,0,0,159,0,0,92
"6",0,0,227,0,0,291,0,0,120,0,0,122,0,0,119,0,0,122
"7",194,0,151,95,0,37,128,0,88,35,0,10,0,0,232,0,0,29
"8",165,0,85,176,0,49,121,0,51,78,0,12,0,0,203,0,0,59
"9",0,0,349,0,0,146,0,0,197,0,0,56,0,0,196,0,0,56
"10",140,0,133,130,0,117,61,0,85,53,0,41,0,0,162,0,0,78
"11",253,0,11,237,0,5,145,0,5,95,0,3,0,0,201,0,0,46
"12",0,0,313,0,0,196,0,0,170,0,0,77,0,0,169,0,0,77
"13",189,0,103,141,0,44,120,0,62,68,0,13,0,0,215,0,0,48
"14",0,0,339,0,0,186,0,0,159,0,0,79,0,0,158,0,0,79
"15",0,0,365,0,0,128,0,0,194,0,0,59,0,0,194,0,0,59
"16",206,0,72,192,0,25,108,0,53,82,0,9,0,0,194,0,0,59
"17",0,0,338,0,0,165,0,0,196,0,0,53,0,0,196,0,0,53
"18",0,0,408,0,0,70,0,0,238,0,0,23,0,0,238,0,0,23
"19",218,0,129,114,0,32,121,0,66,48,0,20,0,0,209,0,0,44
"20",257,0,9,227,0,5,155,0,6,88,0,1,0,0,188,0,0,63
"21",0,0,357,0,0,119,0,0,214,0,0,49,0,0,214,0,0,48
"22",235,0,41,221,0,10,124,0,22,96,0,3,0,0,201,0,0,45
"23",278,0,46,152,0,21,163,0,14,64,0,10,0,0,211,0,0,40
"24",236,0,50,214,0,10,123,0,19,97,0,6,0,0,185,0,0,60
"25",188,0,164,116,0,50,94,0,85,45,0,18,0,0,194,0,0,47
"26",223,0,80,160,0,44,128,0,43,59,0,15,0,0,190,0,0,56
"27",125,0,118,156,0,85,96,0,68,58,0,36,0,0,180,0,0,78
"28",222,0,70,143,0,57,114,0,48,69,0,23,0,0,198,0,0,56
"29",116,0,162,115,0,97,81,0,91,51,0,33,0,0,194,0,0,62
"30",185,0,170,123,0,52,100,0,82,36,0,17,0,0,203,0,0,32
"31",193,0,60,172,0,46,120,0,49,81,0,15,0,0,192,0,0,73
"32",0,0,286,0,0,207,0,0,166,0,0,88,0,0,166,0,0,88
"33",0,0,0,0,0,479,0,0,0,0,0,261,0,0,0,0,0,261
"34",268,0,38,177,0,27,151,0,25,64,0,5,0,0,210,0,0,35
"35",0,0,352,0,0,157,0,0,183,0,0,64,0,0,182,0,0,63
"36",195,0,86,152,0,65,80,0,64,74,0,34,0,0,172,0,0,79
"37",0,0,276,0,0,223,0,0,157,0,0,94,0,0,157,0,0,93
"38",154,0,190,78,0,65,99,0,95,42,0,20,0,0,215,0,0,41
"39",0,0,317,0,0,185,0,0,172,0,0,77,0,0,171,0,0,77
"40",250,0,84,146,0,28,142,0,47,47,0,9,0,0,214,0,0,31
"41",167,0,93,151,0,57,128,0,49,69,0,20,0,0,205,0,0,63
"42",0,0,342,0,0,179,0,0,169,0,0,71,0,0,169,0,0,70
"43",0,0,276,0,0,200,0,0,175,0,0,86,0,0,176,0,0,86
"44",272,0,41,163,0,9,153,0,19,83,0,2,0,0,208,0,0,48
"45",0,0,320,0,0,172,0,0,194,0,0,60,0,0,194,0,0,60
"46",0,0,289,0,0,213,0,0,161,0,0,88,0,0,161,0,0,88
"47",0,0,418,0,0,80,0,0,226,0,0,26,0,0,226,0,0,26
"48",0,0,387,0,0,128,0,0,193,0,0,50,0,0,194,0,0,49
"49",0,0,298,0,0,211,0,0,165,0,0,81,0,0,165,0,0,81
"50",0,0,371,0,0,144,0,0,187,0,0,56,0,0,187,0,0,56
"51",192,0,136,126,0,52,98,0,89,44,0,16,0,0,206,0,0,40
"52",0,0,379,0,0,112,0,0,219,0,0,36,0,0,219,0,0,36
"53",0,0,390,0,0,111,0,0,206,0,0,44,0,0,205,0,0,44
"54",0,0,318,0,0,214,0,0,158,0,0,77,0,0,158,0,0,76
"55",261,0,74,157,0,20,140,0,44,49,0,11,0,0,202,0,0,41
"56",140,0,187,87,0,67,82,0,110,42,0,26,0,0,210,0,0,49
"57",255,0,68,164,0,12,135,0,39,70,0,5,0,0,204,0,0,47
"58",0,0,304,0,0,184,0,0,184,0,0,72,0,0,184,0,0,72
"59",235,0,76,169,0,16,143,0,44,60,0,6,0,0,224,0,0,28
"60",175,0,145,147,0,54,101,0,75,47,0,16,0,0,199,0,0,41
"61",0,0,377,0,0,119,0,0,211,0,0,42,0,0,210,0,0,42
"62",183,0,133,121,0,92,87,0,71,45,0,33,0,0,174,0,0,62
"63",275,0,60,164,0,17,129,0,36,69,0,8,0,0,189,0,0,52
"64",0,0,386,0,0,114,0,0,200,0,0,49,0,0,200,0,0,49
"65",0,0,378,0,0,115,0,0,203,0,0,50,0,0,202,0,0,51
"66",0,0,308,0,0,229,0,0,141,0,0,90,0,0,142,0,0,90
"67",136,0,221,109,0,62,71,0,98,46,0,19,0,0,199,0,0,37
"68",214,0,151,112,0,43,102,0,83,35,0,22,0,0,204,0,0,37
"69",0,0,402,0,0,80,0,0,232,0,0,28,0,0,231,0,0,27
"70",132,0,136,166,0,69,74,0,66,87,0,22,0,0,174,0,0,74
"71",0,0,320,0,0,172,0,0,189,0,0,65,0,0,188,0,0,65
"72",0,0,323,0,0,180,0,0,181,0,0,67,0,0,181,0,0,67
"73",203,0,51,194,0,53,112,0,44,67,0,27,0,0,163,0,0,87
"74",0,0,347,0,0,140,0,0,206,0,0,51,0,0,206,0,0,51
"75",198,0,134,124,0,42,108,0,67,57,0,19,0,0,206,0,0,44
"76",0,0,294,0,0,201,0,0,182,0,0,70,0,0,182,0,0,70
"77",214,0,45,202,0,27,123,0,25,93,0,15,0,0,197,0,0,60
"78",235,0,110,139,0,39,119,0,54,56,0,9,0,0,200,0,0,39
"79",0,0,336,0,0,179,0,0,182,0,0,61,0,0,181,0,0,61
"80",0,0,356,0,0,144,0,0,191,0,0,59,0,0,191,0,0,59
"81",220,0,87,135,0,41,128,0,51,62,0,18,0,0,189,0,0,68
"82",0,0,375,0,0,132,0,0,206,0,0,40,0,0,207,0,0,40
"83",153,0,232,61,0,65,76,0,131,21,0,18,0,0,213,0,0,33
"84",0,0,304,0,0,184,0,0,185,0,0,72,0,0,184,0,0,72
"85",0,0,224,0,0,285,0,0,125,0,0,121,0,0,124,0,0,121
"86",0,0,252,0,0,268,0,0,131,0,0,109,0,0,131,0,0,109
"87",182,0,76,199,0,55,90,0,42,80,0,32,0,0,165,0,0,80
"88",243,0,73,134,0,24,136,0,53,62,0,11,0,0,216,0,0,47
"89",230,0,117,135,0,39,99,0,76,48,0,17,0,0,192,0,0,48
"90",0,0,407,0,0,75,0,0,223,0,0,36,0,0,223,0,0,37
"91",223,0,53,178,0,21,138,0,25,89,0,10,0,0,195,0,0,68
"92",0,0,370,0,0,124,0,0,212,0,0,41,0,0,212,0,0,41
"93",250,0,55,192,0,22,130,0,35,65,0,11,0,0,189,0,0,52
"94",203,0,126,114,0,50,95,0,88,48,0,23,0,0,197,0,0,57
"95",208,0,80,158,0,35,121,0,42,83,0,13,0,0,183,0,0,75
"96",235,0,60,181,0,32,121,0,34,83,0,8,0,0,205,0,0,42
"97",0,0,176,0,0,344,0,0,93,0,0,147,0,0,93,0,0,148
"98",161,0,122,143,0,70,81,0,72,66,0,32,0,0,181,0,0,71
"99",334,0,39,126,0,10,172,0,20,48,0,4,0,0,220,0,0,25
"100",199,0,37,236,0,20,121,0,33,92,0,8,0,0,189,0,0,65
"101",0,0,315,0,0,202,0,0,177,0,0,64,0,0,177,0,0,65
