"freq","s","r","h","mod","chrom","dev"
0.45699974936874,0,0.1,0,"auto.and.nonparX","X",0
0,0,0.1,0,"auto.and.nonparX","Y",0
0,0,0.1,0,"auto.and.nonparY","X",0
0.500554218840344,0,0.1,0,"auto.and.nonparY","Y",0
0.162186473763642,0,0.1,0,"auto.and.parX","X",0
0.160896343069256,0,0.1,0,"auto.and.parX","Y",0
0.166112632258028,0,0.1,0,"auto.and.parY","X",0
0.168351897702554,0,0.1,0,"auto.and.parY","Y",0
0.484035769891752,0,0.1,0.5,"auto.and.nonparX","X",0
0,0,0.1,0.5,"auto.and.nonparX","Y",0
0,0,0.1,0.5,"auto.and.nonparY","X",0
0.495862080216457,0,0.1,0.5,"auto.and.nonparY","Y",0
0.165850195483232,0,0.1,0.5,"auto.and.parX","X",0
0.166395051645898,0,0.1,0.5,"auto.and.parX","Y",0
0.16904592870553,0,0.1,0.5,"auto.and.parY","X",0
0.17024743932539,0,0.1,0.5,"auto.and.parY","Y",0
0.469300422314426,0,0.1,1,"auto.and.nonparX","X",0
0,0,0.1,1,"auto.and.nonparX","Y",0
0,0,0.1,1,"auto.and.nonparY","X",0
0.502303059492481,0,0.1,1,"auto.and.nonparY","Y",0
0.171684844135198,0,0.1,1,"auto.and.parX","X",0
0.171831086731117,0,0.1,1,"auto.and.parX","Y",0
0.174786421367724,0,0.1,1,"auto.and.parY","X",0
0.175427763989802,0,0.1,1,"auto.and.parY","Y",0
0.456963865645961,0,0.2,0,"auto.and.nonparX","X",0
0,0,0.2,0,"auto.and.nonparX","Y",0
0,0,0.2,0,"auto.and.nonparY","X",0
0.496033986685146,0,0.2,0,"auto.and.nonparY","Y",0
0.167377147493305,0,0.2,0,"auto.and.parX","X",0
0.166956880102565,0,0.2,0,"auto.and.parX","Y",0
0.166980812837582,0,0.2,0,"auto.and.parY","X",0
0.169292455642989,0,0.2,0,"auto.and.parY","Y",0
0.464406696288907,0,0.2,0.5,"auto.and.nonparX","X",0
0,0,0.2,0.5,"auto.and.nonparX","Y",0
0,0,0.2,0.5,"auto.and.nonparY","X",0
0.505103402989775,0,0.2,0.5,"auto.and.nonparY","Y",0
0.161898288603166,0,0.2,0.5,"auto.and.parX","X",0
0.16257794521258,0,0.2,0.5,"auto.and.parX","Y",0
0.171901909159046,0,0.2,0.5,"auto.and.parY","X",0
0.173904895086735,0,0.2,0.5,"auto.and.parY","Y",0
0.469770803474444,0,0.2,1,"auto.and.nonparX","X",0
0,0,0.2,1,"auto.and.nonparX","Y",0
0,0,0.2,1,"auto.and.nonparY","X",0
0.50797281756778,0,0.2,1,"auto.and.nonparY","Y",0
0.16314323537058,0,0.2,1,"auto.and.parX","X",0
0.163004810486476,0,0.2,1,"auto.and.parX","Y",0
0.169364708445992,0,0.2,1,"auto.and.parY","X",0
0.16929508682391,0,0.2,1,"auto.and.parY","Y",0
0.468799915471106,0,0.4,0,"auto.and.nonparX","X",0
0,0,0.4,0,"auto.and.nonparX","Y",0
0,0,0.4,0,"auto.and.nonparY","X",0
0.497779200818708,0,0.4,0,"auto.and.nonparY","Y",0
0.172536513803974,0,0.4,0,"auto.and.parX","X",0
0.174027558698535,0,0.4,0,"auto.and.parX","Y",0
0.165865975031829,0,0.4,0,"auto.and.parY","X",0
0.167654341382349,0,0.4,0,"auto.and.parY","Y",0
0.467555149882703,0,0.4,0.5,"auto.and.nonparX","X",0
0,0,0.4,0.5,"auto.and.nonparX","Y",0
0,0,0.4,0.5,"auto.and.nonparY","X",0
0.497898214493185,0,0.4,0.5,"auto.and.nonparY","Y",0
0.169912872543286,0,0.4,0.5,"auto.and.parX","X",0
0.169045909688675,0,0.4,0.5,"auto.and.parX","Y",0
0.170474329410982,0,0.4,0.5,"auto.and.parY","X",0
0.172455552923195,0,0.4,0.5,"auto.and.parY","Y",0
0.460263224738335,0,0.4,1,"auto.and.nonparX","X",0
0,0,0.4,1,"auto.and.nonparX","Y",0
0,0,0.4,1,"auto.and.nonparY","X",0
0.491545048026893,0,0.4,1,"auto.and.nonparY","Y",0
0.165531437371741,0,0.4,1,"auto.and.parX","X",0
0.163851702933547,0,0.4,1,"auto.and.parX","Y",0
0.164729224426237,0,0.4,1,"auto.and.parY","X",0
0.167227761470786,0,0.4,1,"auto.and.parY","Y",0
0.521037324229532,0.1,0.1,0,"auto.and.nonparX","X",0.0640375748607919
0,0.1,0.1,0,"auto.and.nonparX","Y",0
0,0.1,0.1,0,"auto.and.nonparY","X",0
0.640178407613809,0.1,0.1,0,"auto.and.nonparY","Y",0.139624188773466
0.180669300743774,0.1,0.1,0,"auto.and.parX","X",0.0184828269801324
0.181322904228391,0.1,0.1,0,"auto.and.parX","Y",0.0204265611591345
0.183098875693046,0.1,0.1,0,"auto.and.parY","X",0.0169862434350174
0.185534211752577,0.1,0.1,0,"auto.and.parY","Y",0.0171823140500229
0.49896750497952,0.1,0.1,0.5,"auto.and.nonparX","X",0.0149317350877677
0,0.1,0.1,0.5,"auto.and.nonparX","Y",0
0,0.1,0.1,0.5,"auto.and.nonparY","X",0
0.570318542977434,0.1,0.1,0.5,"auto.and.nonparY","Y",0.0744564627609773
0.159836166642541,0.1,0.1,0.5,"auto.and.parX","X",-0.00601402884069099
0.160117341028644,0.1,0.1,0.5,"auto.and.parX","Y",-0.00627771061725452
0.163650289323391,0.1,0.1,0.5,"auto.and.parY","X",-0.00539563938213897
0.166185518241923,0.1,0.1,0.5,"auto.and.parY","Y",-0.00406192108346637
0.487291188687541,0.1,0.1,1,"auto.and.nonparX","X",0.0179907663731153
0,0.1,0.1,1,"auto.and.nonparX","Y",0
0,0.1,0.1,1,"auto.and.nonparY","X",0
0.57582150706496,0.1,0.1,1,"auto.and.nonparY","Y",0.0735184475724788
0.13227929600524,0.1,0.1,1,"auto.and.parX","X",-0.0394055481299581
0.130938720287987,0.1,0.1,1,"auto.and.parX","Y",-0.0408923664431305
0.13829483611546,0.1,0.1,1,"auto.and.parY","X",-0.0364915852522646
0.141881388004468,0.1,0.1,1,"auto.and.parY","Y",-0.0335463759853338
0.487675162119185,0.1,0.2,0,"auto.and.nonparX","X",0.0307112964732243
0,0.1,0.2,0,"auto.and.nonparX","Y",0
0,0.1,0.2,0,"auto.and.nonparY","X",0
0.552665664372495,0.1,0.2,0,"auto.and.nonparY","Y",0.0566316776873494
0.178345845237917,0.1,0.2,0,"auto.and.parX","X",0.0109686977446114
0.177136515448152,0.1,0.2,0,"auto.and.parX","Y",0.0101796353455874
0.186971450068972,0.1,0.2,0,"auto.and.parY","X",0.0199906372313901
0.187180933878726,0.1,0.2,0,"auto.and.parY","Y",0.0178884782357371
0.478972998348401,0.1,0.2,0.5,"auto.and.nonparX","X",0.0145663020594939
0,0.1,0.2,0.5,"auto.and.nonparX","Y",0
0,0.1,0.2,0.5,"auto.and.nonparY","X",0
0.54506348694921,0.1,0.2,0.5,"auto.and.nonparY","Y",0.0399600839594351
0.159284870154004,0.1,0.2,0.5,"auto.and.parX","X",-0.0026134184491616
0.158855623908431,0.1,0.2,0.5,"auto.and.parX","Y",-0.00372232130414957
0.146295549049455,0.1,0.2,0.5,"auto.and.parY","X",-0.0256063601095915
