"","frqX","frqY","model","h","r","s"
"923",0.2,0.2,"auto.and.parX","0.5","0.1","0"
"924",0.0638297872340425,0.0566801619433198,"auto.and.parX","0.5","0.1","0"
"925",0.0351351351351351,0.0114503816793893,"auto.and.parX","0.5","0.1","0"
"926",0.119727891156463,0.0754716981132075,"auto.and.parX","0.5","0.1","0"
"927",0.0479360852197071,0.0562248995983936,"auto.and.parX","0.5","0.1","0"
"928",0.0119363395225464,0.0203252032520325,"auto.and.parX","0.5","0.1","0"
"929",0.0230352303523035,0.0344827586206897,"auto.and.parX","0.5","0.1","0"
"930",0.306772908366534,0.376518218623482,"auto.and.parX","0.5","0.1","0"
"931",0.0477453580901857,0.0819672131147541,"auto.and.parX","0.5","0.1","0"
"932",0.0713324360699865,0.0588235294117647,"auto.and.parX","0.5","0.1","0"
"933",0.426845637583893,0.4140625,"auto.and.parX","0.5","0.1","0"
"934",0.393184796854522,0.438297872340426,"auto.and.parX","0.5","0.1","0"
"935",0.0655080213903743,0.0595238095238095,"auto.and.parX","0.5","0.1","0"
"936",0.108724832214765,0.094488188976378,"auto.and.parX","0.5","0.1","0"
"937",0.0590604026845638,0.0784313725490196,"auto.and.parX","0.5","0.1","0"
"938",0.0870712401055409,0.0785123966942149,"auto.and.parX","0.5","0.1","0"
"939",0.0724832214765101,0.0470588235294118,"auto.and.parX","0.5","0.1","0"
"940",0.214673913043478,0.20532319391635,"auto.and.parX","0.5","0.1","0"
"941",0.249336870026525,0.304878048780488,"auto.and.parX","0.5","0.1","0"
"942",0.129427792915531,0.172284644194757,"auto.and.parX","0.5","0.1","0"
"943",0.30173564753004,0.25,"auto.and.parX","0.5","0.1","0"
"944",0.164642375168691,0.164750957854406,"auto.and.parX","0.5","0.1","0"
"945",0.575838926174497,0.63671875,"auto.and.parX","0.5","0.1","0"
"946",0.0160857908847185,0.0198412698412698,"auto.and.parX","0.5","0.1","0"
"947",0.530040053404539,0.525691699604743,"auto.and.parX","0.5","0.1","0"
"948",0.00797872340425532,0,"auto.and.parX","0.5","0.1","0"
"949",0.447229551451187,0.462809917355372,"auto.and.parX","0.5","0.1","0"
"950",0.137566137566138,0.106995884773663,"auto.and.parX","0.5","0.1","0"
"951",0.0284167794316644,0.0307692307692308,"auto.and.parX","0.5","0.1","0"
"952",0.38739946380697,0.372549019607843,"auto.and.parX","0.5","0.1","0"
"953",0.0717131474103586,0.072289156626506,"auto.and.parX","0.5","0.1","0"
"954",0.0169712793733681,0.0127659574468085,"auto.and.parX","0.5","0.1","0"
"955",0.201884253028264,0.254826254826255,"auto.and.parX","0.5","0.1","0"
"956",0.148,0.183266932270916,"auto.and.parX","0.5","0.1","0"
"957",0.550200803212851,0.673228346456693,"auto.and.parX","0.5","0.1","0"
"958",0.0387182910547397,0.047808764940239,"auto.and.parX","0.5","0.1","0"
"959",0.06703146374829,0.0858208955223881,"auto.and.parX","0.5","0.1","0"
