"","s","Freq_mean","group","cols","linetype"
"33",0.3,0.173624687719199,"NonPARY r=0.1","1","Y"
"34",0.4,0.188627143811662,"NonPARY r=0.1","1","Y"
"35",0.5,0.199556914432408,"NonPARY r=0.1","1","Y"
"36",0.6,0.206296726024401,"NonPARY r=0.1","1","Y"
"37",0.7,0.208929434218619,"NonPARY r=0.1","1","Y"
"38",0.8,0.212010066220529,"NonPARY r=0.1","1","Y"
"39",0.9,0.213785542751647,"NonPARY r=0.1","1","Y"
"40",1,0.213611338893741,"NonPARY r=0.1","1","Y"
"41",0.1,0.0151577317497498,"NonPARY r=0.2","2","Y"
"42",0.2,0.0631279037170521,"NonPARY r=0.2","2","Y"
"43",0.3,0.118165717712693,"NonPARY r=0.2","2","Y"
"44",0.4,0.14552845344194,"NonPARY r=0.2","2","Y"
"45",0.5,0.16301070342393,"NonPARY r=0.2","2","Y"
"46",0.6,0.179711182553081,"NonPARY r=0.2","2","Y"
"47",0.7,0.181769279794313,"NonPARY r=0.2","2","Y"
"48",0.8,0.188079344487998,"NonPARY r=0.2","2","Y"
"49",0.9,0.193392475663539,"NonPARY r=0.2","2","Y"
"50",1,0.19455729626394,"NonPARY r=0.2","2","Y"
"51",0.1,0.00965513685294614,"NonPARY r=0.4","3","Y"
"52",0.2,0.0188058875527498,"NonPARY r=0.4","3","Y"
"53",0.3,0.0324505704364403,"NonPARY r=0.4","3","Y"
"54",0.4,0.0469297278179629,"NonPARY r=0.4","3","Y"
"55",0.5,0.0614482331455999,"NonPARY r=0.4","3","Y"
"56",0.6,0.0793928501456911,"NonPARY r=0.4","3","Y"
"57",0.7,0.0828616378655187,"NonPARY r=0.4","3","Y"
"58",0.8,0.0954203417464506,"NonPARY r=0.4","3","Y"
"59",0.9,0.0981954494920155,"NonPARY r=0.4","3","Y"
"60",1,0.104662962107313,"NonPARY r=0.4","3","Y"
"61",0.1,-0.0401489572865443,"PARX r=0.1","1","X"
"62",0.2,-0.0778303033309117,"PARX r=0.1","1","X"
"63",0.3,-0.0968656775457781,"PARX r=0.1","1","X"
"64",0.4,-0.0955712059454991,"PARX r=0.1","1","X"
"65",0.5,-0.0999360241632365,"PARX r=0.1","1","X"
"66",0.6,-0.100452440211691,"PARX r=0.1","1","X"
"67",0.7,-0.0997403956123745,"PARX r=0.1","1","X"
"68",0.8,-0.104433800191784,"PARX r=0.1","1","X"
"69",0.9,-0.103452708867114,"PARX r=0.1","1","X"
"70",1,-0.103207667962185,"PARX r=0.1","1","X"
"71",0.1,-0.0352326757878145,"PARX r=0.2","2","X"
"72",0.2,-0.0743296406710988,"PARX r=0.2","2","X"
"73",0.3,-0.0849212557894476,"PARX r=0.2","2","X"
"74",0.4,-0.0860689243183956,"PARX r=0.2","2","X"
"75",0.5,-0.0878728569824229,"PARX r=0.2","2","X"
"76",0.6,-0.0899328643408979,"PARX r=0.2","2","X"
"77",0.7,-0.0893712413438342,"PARX r=0.2","2","X"
"78",0.8,-0.0893880259826269,"PARX r=0.2","2","X"
"79",0.9,-0.0938423338772742,"PARX r=0.2","2","X"
"80",1,-0.0933616132301724,"PARX r=0.2","2","X"
"81",0.1,-0.0331645813056285,"PARX r=0.4","3","X"
"82",0.2,-0.0741168221242929,"PARX r=0.4","3","X"
"83",0.3,-0.0852548077585005,"PARX r=0.4","3","X"
"84",0.4,-0.0885864630654911,"PARX r=0.4","3","X"
"85",0.5,-0.0873030246003923,"PARX r=0.4","3","X"
"86",0.6,-0.0855673828994162,"PARX r=0.4","3","X"
"87",0.7,-0.0869149317144637,"PARX r=0.4","3","X"
"88",0.8,-0.0847167552391046,"PARX r=0.4","3","X"
"89",0.9,-0.0858895461841958,"PARX r=0.4","3","X"
"90",1,-0.082818835317119,"PARX r=0.4","3","X"
"91",0.1,-0.0350189806187992,"PARY r=0.1","1","Y"
"92",0.2,-0.0845269430106544,"PARY r=0.1","1","Y"
"93",0.3,-0.0962266212799646,"PARY r=0.1","1","Y"
"94",0.4,-0.10037347241493,"PARY r=0.1","1","Y"
"95",0.5,-0.100601782440607,"PARY r=0.1","1","Y"
"96",0.6,-0.10274882600653,"PARY r=0.1","1","Y"
"97",0.7,-0.101566249407476,"PARY r=0.1","1","Y"
"98",0.8,-0.104190392232586,"PARY r=0.1","1","Y"
"99",0.9,-0.107044716314902,"PARY r=0.1","1","Y"
"100",1,-0.106835408026223,"PARY r=0.1","1","Y"
"101",0.1,-0.0232916415505558,"PARY r=0.2","2","Y"
"102",0.2,-0.0780168386480684,"PARY r=0.2","2","Y"
"103",0.3,-0.0895943341927411,"PARY r=0.2","2","Y"
"104",0.4,-0.092865535582184,"PARY r=0.2","2","Y"
"105",0.5,-0.0956564664826435,"PARY r=0.2","2","Y"
"106",0.6,-0.0958744363945265,"PARY r=0.2","2","Y"
"107",0.7,-0.0964651207389246,"PARY r=0.2","2","Y"
"108",0.8,-0.0985334742091547,"PARY r=0.2","2","Y"
"109",0.9,-0.0957998895243652,"PARY r=0.2","2","Y"
"110",1,-0.100804463642454,"PARY r=0.2","2","Y"
"111",0.1,-0.0320222015360373,"PARY r=0.4","3","Y"
"112",0.2,-0.0810175967498172,"PARY r=0.4","3","Y"
"113",0.3,-0.0865770810120417,"PARY r=0.4","3","Y"
"114",0.4,-0.0863716959685604,"PARY r=0.4","3","Y"
"115",0.5,-0.0861382532348921,"PARY r=0.4","3","Y"
"116",0.6,-0.0846942581658216,"PARY r=0.4","3","Y"
"117",0.7,-0.0856869581026874,"PARY r=0.4","3","Y"
"118",0.8,-0.0888160194227721,"PARY r=0.4","3","Y"
"119",0.9,-0.0834762998397205,"PARY r=0.4","3","Y"
"120",1,-0.0849625031190835,"PARY r=0.4","3","Y"
