"","s","Freq_mean","group","cols","linetype"
"1",0.1,0.00899538318655763,"NonPARX r=0.1","1","X"
"2",0.2,0.0890333243863322,"NonPARX r=0.1","1","X"
"3",0.3,0.153091835610483,"NonPARX r=0.1","1","X"
"4",0.4,0.180918914425444,"NonPARX r=0.1","1","X"
"5",0.5,0.194902568313332,"NonPARX r=0.1","1","X"
"6",0.6,0.204198916836504,"NonPARX r=0.1","1","X"
"7",0.7,0.207207025132197,"NonPARX r=0.1","1","X"
"8",0.8,0.211527273201241,"NonPARX r=0.1","1","X"
"9",0.9,0.213432692675964,"NonPARX r=0.1","1","X"
"10",1,0.214837950684286,"NonPARX r=0.1","1","X"
"11",0.1,0.000684040830316729,"NonPARX r=0.2","2","X"
"12",0.2,0.0404762112537051,"NonPARX r=0.2","2","X"
"13",0.3,0.0874322422217572,"NonPARX r=0.2","2","X"
"14",0.4,0.119198115790125,"NonPARX r=0.2","2","X"
"15",0.5,0.14790447711761,"NonPARX r=0.2","2","X"
"16",0.6,0.16825995094635,"NonPARX r=0.2","2","X"
"17",0.7,0.180772768172084,"NonPARX r=0.2","2","X"
"18",0.8,0.18689916816896,"NonPARX r=0.2","2","X"
"19",0.9,0.19256228343615,"NonPARX r=0.2","2","X"
"20",1,0.19819907224579,"NonPARX r=0.2","2","X"
"21",0.1,0.00768032193442283,"NonPARX r=0.4","3","X"
"22",0.2,0.00969299766377393,"NonPARX r=0.4","3","X"
"23",0.3,0.0145239275578795,"NonPARX r=0.4","3","X"
"24",0.4,0.0297123219613025,"NonPARX r=0.4","3","X"
"25",0.5,0.0360786441109446,"NonPARX r=0.4","3","X"
"26",0.6,0.0441698659808057,"NonPARX r=0.4","3","X"
"27",0.7,0.0537750198401511,"NonPARX r=0.4","3","X"
"28",0.8,0.061828911668067,"NonPARX r=0.4","3","X"
"29",0.9,0.06850905411187,"NonPARX r=0.4","3","X"
"30",1,0.076392721643245,"NonPARX r=0.4","3","X"
"31",0.1,0.0367592237862394,"NonPARY r=0.1","1","Y"
"32",0.2,0.129766808732537,"NonPARY r=0.1","1","Y"
