"","model","h","r","s","Freq","chrom"
"1","nonpar",0,0.1,0,0,"X"
"2","nonpar",0,0.1,0,0,"Y"
"3","par",0,0.1,0,0,"X"
"4","par",0,0.1,0,0,"Y"
"5","nonpar",0.5,0.1,0,0,"X"
"6","nonpar",0.5,0.1,0,0,"Y"
"7","par",0.5,0.1,0,0,"X"
"8","par",0.5,0.1,0,0,"Y"
"9","nonpar",1,0.1,0,0,"X"
"10","nonpar",1,0.1,0,0,"Y"
"11","par",1,0.1,0,0,"X"
"12","par",1,0.1,0,0,"Y"
"13","nonpar",0,0.2,0,0,"X"
"14","nonpar",0,0.2,0,0,"Y"
"15","par",0,0.2,0,0,"X"
"16","par",0,0.2,0,0,"Y"
"17","nonpar",0.5,0.2,0,0,"X"
"18","nonpar",0.5,0.2,0,0,"Y"
"19","par",0.5,0.2,0,0,"X"
"20","par",0.5,0.2,0,0,"Y"
"21","nonpar",1,0.2,0,0,"X"
"22","nonpar",1,0.2,0,0,"Y"
"23","par",1,0.2,0,0,"X"
"24","par",1,0.2,0,0,"Y"
"25","nonpar",0,0.4,0,0,"X"
"26","nonpar",0,0.4,0,0,"Y"
"27","par",0,0.4,0,0,"X"
"28","par",0,0.4,0,0,"Y"
"29","nonpar",0.5,0.4,0,0,"X"
"30","nonpar",0.5,0.4,0,0,"Y"
"31","par",0.5,0.4,0,0,"X"
"32","par",0.5,0.4,0,0,"Y"
"33","nonpar",1,0.4,0,0,"X"
"34","nonpar",1,0.4,0,0,"Y"
"35","par",1,0.4,0,0,"X"
"36","par",1,0.4,0,0,"Y"
"37","nonpar",0,0.1,0.1,0.0640375748607919,"X"
"38","nonpar",0,0.1,0.1,0.139624188773466,"Y"
"39","par",0,0.1,0.1,0.0184828269801324,"X"
"40","par",0,0.1,0.1,0.0171823140500229,"Y"
"41","nonpar",0.5,0.1,0.1,0.0149317350877677,"X"
"42","nonpar",0.5,0.1,0.1,0.0744564627609773,"Y"
"43","par",0.5,0.1,0.1,-0.00601402884069099,"X"
"44","par",0.5,0.1,0.1,-0.00406192108346637,"Y"
"45","nonpar",1,0.1,0.1,0.0179907663731153,"X"
"46","nonpar",1,0.1,0.1,0.0735184475724788,"Y"
"47","par",1,0.1,0.1,-0.0394055481299581,"X"
"48","par",1,0.1,0.1,-0.0335463759853338,"Y"
"49","nonpar",0,0.2,0.1,0.0307112964732243,"X"
"50","nonpar",0,0.2,0.1,0.0566316776873494,"Y"
"51","par",0,0.2,0.1,0.0109686977446114,"X"
"52","par",0,0.2,0.1,0.0178884782357371,"Y"
"53","nonpar",0.5,0.2,0.1,0.0145663020594939,"X"
"54","nonpar",0.5,0.2,0.1,0.0399600839594351,"Y"
"55","par",0.5,0.2,0.1,-0.0026134184491616,"X"
"56","par",0.5,0.2,0.1,-0.0260270145646391,"Y"
"57","nonpar",1,0.2,0.1,0.00136808166063346,"X"
"58","nonpar",1,0.2,0.1,0.0303154634994997,"Y"
"59","par",1,0.2,0.1,-0.0356050007954306,"X"
"60","par",1,0.2,0.1,-0.0215288575322753,"Y"
"61","nonpar",0,0.4,0.1,-0.0104876851133115,"X"
"62","nonpar",0,0.4,0.1,-0.00426892893025788,"Y"
"63","par",0,0.4,0.1,0.00541651841666643,"X"
"64","par",0,0.4,0.1,0.0162009296068394,"Y"
"65","nonpar",0.5,0.4,0.1,-0.00740217577193186,"X"
"66","nonpar",0.5,0.4,0.1,0.00605064160282187,"Y"
"67","par",0.5,0.4,0.1,-0.0248298778773005,"X"
"68","par",0.5,0.4,0.1,-0.0268415545663161,"Y"
"69","nonpar",1,0.4,0.1,0.0153606438688457,"X"
"70","nonpar",1,0.4,0.1,0.0193102737058923,"Y"
"71","par",1,0.4,0.1,-0.033013504611427,"X"
"72","par",1,0.4,0.1,-0.0318331804045912,"Y"
