"","model","h","r","s","Freq","chrom"
"73","nonpar",0,0.1,0.2,0.349806721919045,"X"
"74","nonpar",0,0.1,0.2,0.384300913483569,"Y"
"75","par",0,0.1,0.2,0.0360667704460416,"X"
"76","par",0,0.1,0.2,0.0216333433241333,"Y"
"77","nonpar",0.5,0.1,0.2,0.15333936337772,"X"
"78","nonpar",0.5,0.1,0.2,0.262039365963368,"Y"
"79","par",0.5,0.1,0.2,-0.038228185677808,"X"
"80","par",0.5,0.1,0.2,-0.0409441541920443,"Y"
"81","nonpar",1,0.1,0.2,0.178066648772664,"X"
"82","nonpar",1,0.1,0.2,0.259533617465074,"Y"
"83","par",1,0.1,0.2,-0.077733013024085,"X"
"84","par",1,0.1,0.2,-0.0835545692239169,"Y"
"85","nonpar",0,0.2,0.2,0.12567706464459,"X"
"86","nonpar",0,0.2,0.2,0.231982776798562,"Y"
"87","par",0,0.2,0.2,0.0209200249736072,"X"
"88","par",0,0.2,0.2,0.0184773990965751,"Y"
"89","nonpar",0.5,0.2,0.2,0.0464107596954101,"X"
"90","nonpar",0.5,0.2,0.2,0.103249372008505,"Y"
"91","par",0.5,0.2,0.2,-0.0391007154566292,"X"
"92","par",0.5,0.2,0.2,-0.0428135365976396,"Y"
"93","nonpar",1,0.2,0.2,0.0809524225074101,"X"
"94","nonpar",1,0.2,0.2,0.126255807434104,"Y"
"95","par",1,0.2,0.2,-0.0746847485429637,"X"
"96","par",1,0.2,0.2,-0.0765212845663272,"Y"
"97","nonpar",0,0.4,0.2,0.0167529346077672,"X"
"98","nonpar",0,0.4,0.2,0.0256553689394545,"Y"
"99","par",0,0.4,0.2,0.0151259437530905,"X"
"100","par",0,0.4,0.2,0.014389460559546,"Y"
"101","nonpar",0.5,0.4,0.2,0.0121202209748856,"X"
"102","nonpar",0.5,0.4,0.2,0.0235317554946665,"Y"
"103","par",0.5,0.4,0.2,-0.0451218887697005,"X"
"104","par",0.5,0.4,0.2,-0.0429255237285571,"Y"
"105","nonpar",1,0.4,0.2,0.0193859953275479,"X"
"106","nonpar",1,0.4,0.2,0.0376117751054996,"Y"
"107","par",1,0.4,0.2,-0.0747526408506377,"X"
"108","par",1,0.4,0.2,-0.0815321553257399,"Y"
"109","nonpar",0,0.1,0.3,0.481917282983982,"X"
"110","nonpar",0,0.1,0.3,0.443084183709404,"Y"
"111","par",0,0.1,0.3,0.00698795714176986,"X"
"112","par",0,0.1,0.3,0.00697392291417182,"Y"
"113","nonpar",0.5,0.1,0.3,0.302016174216325,"X"
"114","nonpar",0.5,0.1,0.3,0.370660365705287,"Y"
"115","par",0.5,0.1,0.3,-0.0526959715433522,"X"
"116","par",0.5,0.1,0.3,-0.0563354163019681,"Y"
"117","nonpar",1,0.1,0.3,0.306183671220965,"X"
"118","nonpar",1,0.1,0.3,0.347249375438397,"Y"
"119","par",1,0.1,0.3,-0.0963773858930649,"X"
"120","par",1,0.1,0.3,-0.0949326275426313,"Y"
"121","nonpar",0,0.2,0.3,0.306648942751678,"X"
"122","nonpar",0,0.2,0.3,0.359199326416421,"Y"
"123","par",0,0.2,0.3,0.00051884010290193,"X"
"124","par",0,0.2,0.3,-0.000877804929889897,"Y"
"125","nonpar",0.5,0.2,0.3,0.147481879645129,"X"
"126","nonpar",0.5,0.2,0.3,0.225653955309402,"Y"
"127","par",0.5,0.2,0.3,-0.0534472539702817,"X"
"128","par",0.5,0.2,0.3,-0.0612597674929178,"Y"
"129","nonpar",1,0.2,0.3,0.174864484443514,"X"
"130","nonpar",1,0.2,0.3,0.236331435425387,"Y"
"131","par",1,0.2,0.3,-0.0850613891553017,"X"
"132","par",1,0.2,0.3,-0.0890518923989388,"Y"
"133","nonpar",0,0.4,0.3,0.0506132900333544,"X"
"134","nonpar",0,0.4,0.3,0.0873658561499878,"Y"
"135","par",0,0.4,0.3,-0.011017188287626,"X"
"136","par",0,0.4,0.3,0.000805435025851009,"Y"
"137","nonpar",0.5,0.4,0.3,0.0313510197369875,"X"
"138","nonpar",0.5,0.4,0.3,0.050512881638018,"Y"
"139","par",0.5,0.4,0.3,-0.0567848842011926,"X"
"140","par",0.5,0.4,0.3,-0.0618915431829863,"Y"
"141","nonpar",1,0.4,0.3,0.029047855115759,"X"
"142","nonpar",1,0.4,0.3,0.0649011408728805,"Y"
"143","par",1,0.4,0.3,-0.0859518940410097,"X"
"144","par",1,0.4,0.3,-0.0865218417976586,"Y"
"145","nonpar",0,0.1,0.4,0.507675373216825,"X"
"146","nonpar",0,0.1,0.4,0.459489854588168,"Y"
"147","par",0,0.1,0.4,-0.00783065032806438,"X"
"148","par",0,0.1,0.4,-0.0146669505219816,"Y"
"149","nonpar",0.5,0.1,0.4,0.393879121814329,"X"
"150","nonpar",0.5,0.1,0.4,0.414883933187837,"Y"
"151","par",0.5,0.1,0.4,-0.0562649005995415,"X"
"152","par",0.5,0.1,0.4,-0.0608984841323392,"Y"
"153","nonpar",1,0.1,0.4,0.361837828850887,"X"
"154","nonpar",1,0.1,0.4,0.377254287623324,"Y"
"155","par",1,0.1,0.4,-0.0949764088775211,"X"
"156","par",1,0.1,0.4,-0.0992756264690726,"Y"
"157","nonpar",0,0.2,0.4,0.411105192221558,"X"
"158","nonpar",0,0.2,0.4,0.415876755526185,"Y"
"159","par",0,0.2,0.4,-0.0186093650287182,"X"
"160","par",0,0.2,0.4,-0.0187313276637868,"Y"
"161","nonpar",0.5,0.2,0.4,0.229330235876808,"X"
"162","nonpar",0.5,0.2,0.4,0.295846836815427,"Y"
"163","par",0.5,0.2,0.4,-0.0569465865912555,"X"
"164","par",0.5,0.2,0.4,-0.0688950689546853,"Y"
"165","nonpar",1,0.2,0.4,0.23839623158025,"X"
"166","nonpar",1,0.2,0.4,0.291056906883879,"Y"
"167","par",1,0.2,0.4,-0.0860590223025998,"X"
"168","par",1,0.2,0.4,-0.0915717775113717,"Y"
"169","nonpar",0,0.4,0.4,0.0775546116018468,"X"
"170","nonpar",0,0.4,0.4,0.152716676183128,"Y"
"171","par",0,0.4,0.4,-0.00888736495710482,"X"
"172","par",0,0.4,0.4,-0.00936945856995422,"Y"
"173","nonpar",0.5,0.4,0.4,0.0321864067696094,"X"
"174","nonpar",0.5,0.4,0.4,0.0701939855621085,"Y"
"175","par",0.5,0.4,0.4,-0.0585546568462142,"X"
"176","par",0.5,0.4,0.4,-0.0625415343064408,"Y"
"177","nonpar",1,0.4,0.4,0.059424643922605,"X"
"178","nonpar",1,0.4,0.4,0.0938594556359258,"Y"
"179","par",1,0.4,0.4,-0.0898202650143273,"X"
"180","par",1,0.4,0.4,-0.0862367879947998,"Y"
"181","nonpar",0,0.1,0.5,0.516196590790339,"X"
"182","nonpar",0,0.1,0.5,0.467600320826534,"Y"
"183","par",0,0.1,0.5,-0.0251920183820246,"X"
"184","par",0,0.1,0.5,-0.0287446466439635,"Y"
"185","nonpar",0.5,0.1,0.5,0.432442482329948,"X"
"186","nonpar",0.5,0.1,0.5,0.430044383958573,"Y"
"187","par",0.5,0.1,0.5,-0.0613406348153538,"X"
"188","par",0.5,0.1,0.5,-0.062987116223343,"Y"
"189","nonpar",1,0.1,0.5,0.389805136626664,"X"
"190","nonpar",1,0.1,0.5,0.399113828864815,"Y"
"191","par",1,0.1,0.5,-0.0996671595850787,"X"
"192","par",1,0.1,0.5,-0.0993772578580352,"Y"
"193","nonpar",0,0.2,0.5,0.467375834144789,"X"
"194","nonpar",0,0.2,0.5,0.441072911072095,"Y"
"195","par",0,0.2,0.5,-0.0294696056408882,"X"
"196","par",0,0.2,0.5,-0.0279048177556075,"Y"
"197","nonpar",0.5,0.2,0.5,0.309811322954547,"X"
"198","nonpar",0.5,0.2,0.5,0.348679938638427,"Y"
"199","par",0.5,0.2,0.5,-0.0581596415837111,"X"
"200","par",0.5,0.2,0.5,-0.0660583749488865,"Y"
"201","nonpar",1,0.2,0.5,0.295808954235219,"X"
"202","nonpar",1,0.2,0.5,0.32602140684786,"Y"
"203","par",1,0.2,0.5,-0.0882936139589842,"X"
"204","par",1,0.2,0.5,-0.0945045876143014,"Y"
"205","nonpar",0,0.4,0.5,0.131124923763883,"X"
"206","nonpar",0,0.4,0.5,0.215706093944983,"Y"
"207","par",0,0.4,0.5,-0.0148595442645595,"X"
"208","par",0,0.4,0.5,-0.00274315138814321,"Y"
"209","nonpar",0.5,0.4,0.5,0.0510252220360101,"X"
"210","nonpar",0.5,0.4,0.5,0.101836181787996,"Y"
"211","par",0.5,0.4,0.5,-0.0647263600951528,"X"
"212","par",0.5,0.4,0.5,-0.0620849466930985,"Y"
"213","nonpar",1,0.4,0.5,0.0721572882218893,"X"
"214","nonpar",1,0.4,0.5,0.1228964662912,"Y"
"215","par",1,0.4,0.5,-0.0869719615678258,"X"
"216","par",1,0.4,0.5,-0.086080895192305,"Y"
"217","nonpar",0,0.1,0.6,0.520273555903494,"X"
"218","nonpar",0,0.1,0.6,0.472183296826257,"Y"
"219","par",0,0.1,0.6,-0.0342006912968691,"X"
"220","par",0,0.1,0.6,-0.0445240619578219,"Y"
"221","nonpar",0.5,0.1,0.6,0.447352767804786,"X"
"222","nonpar",0.5,0.1,0.6,0.44608171128672,"Y"
"223","par",0.5,0.1,0.6,-0.0672283291659141,"X"
"224","par",0.5,0.1,0.6,-0.0702973935707989,"Y"
"225","nonpar",1,0.1,0.6,0.408397833673008,"X"
"226","nonpar",1,0.1,0.6,0.412593452048802,"Y"
"227","par",1,0.1,0.6,-0.099657131158546,"X"
"228","par",1,0.1,0.6,-0.102099743545063,"Y"
"229","nonpar",0,0.2,0.6,0.484649504106298,"X"
"230","nonpar",0,0.2,0.6,0.45184997243845,"Y"
"231","par",0,0.2,0.6,-0.0371863108663174,"X"
"232","par",0,0.2,0.6,-0.0399323069651433,"Y"
"233","nonpar",0.5,0.2,0.6,0.367387633007113,"X"
"234","nonpar",0.5,0.2,0.6,0.378009442205194,"Y"
"235","par",0.5,0.2,0.6,-0.0618720131775319,"X"
"236","par",0.5,0.2,0.6,-0.074579374561394,"Y"
"237","nonpar",1,0.2,0.6,0.336519901892701,"X"
"238","nonpar",1,0.2,0.6,0.359422365106162,"Y"
"239","par",1,0.2,0.6,-0.0896068097971013,"X"
"240","par",1,0.2,0.6,-0.0956193885700189,"Y"
"241","nonpar",0,0.4,0.6,0.183757511876854,"X"
"242","nonpar",0,0.4,0.6,0.264639909270623,"Y"
"243","par",0,0.4,0.6,-0.0213156566365535,"X"
"244","par",0,0.4,0.6,-0.0117427348979371,"Y"
"245","nonpar",0.5,0.4,0.6,0.0858567975822221,"X"
"246","nonpar",0.5,0.4,0.6,0.137730487717592,"Y"
"247","par",0.5,0.4,0.6,-0.0614236632807182,"X"
"248","par",0.5,0.4,0.6,-0.0628544597894767,"Y"
"249","nonpar",1,0.4,0.6,0.0883397319616115,"X"
"250","nonpar",1,0.4,0.6,0.158785700291382,"Y"
"251","par",1,0.4,0.6,-0.0864530620402137,"X"
"252","par",1,0.4,0.6,-0.084899068281969,"Y"
"253","nonpar",0,0.1,0.7,0.523444060071435,"X"
"254","nonpar",0,0.1,0.7,0.475087377581345,"Y"
"255","par",0,0.1,0.7,-0.0508005174126855,"X"
"256","par",0,0.1,0.7,-0.0568999510498368,"Y"
"257","nonpar",0.5,0.1,0.7,0.457317657741879,"X"
"258","nonpar",0.5,0.1,0.7,0.4541617851225,"Y"
"259","par",0.5,0.1,0.7,-0.0699148560968277,"X"
"260","par",0.5,0.1,0.7,-0.0699142345971332,"Y"
"261","nonpar",1,0.1,0.7,0.414414050264394,"X"
"262","nonpar",1,0.1,0.7,0.417858868437238,"Y"
"263","par",1,0.1,0.7,-0.0993879612443327,"X"
"264","par",1,0.1,0.7,-0.100120606286379,"Y"
"265","nonpar",0,0.2,0.7,0.498047316015083,"X"
"266","nonpar",0,0.2,0.7,0.465391139554606,"Y"
"267","par",0,0.2,0.7,-0.0517561583843293,"X"
"268","par",0,0.2,0.7,-0.049610512070607,"Y"
"269","nonpar",0.5,0.2,0.7,0.398712112364232,"X"
"270","nonpar",0.5,0.2,0.7,0.394119190179621,"Y"
"271","par",0.5,0.2,0.7,-0.0617494379928638,"X"
"272","par",0.5,0.2,0.7,-0.0754132344295184,"Y"
"273","nonpar",1,0.2,0.7,0.361545536344168,"X"
"274","nonpar",1,0.2,0.7,0.363538559588625,"Y"
"275","par",1,0.2,0.7,-0.0896669147269166,"X"
"276","par",1,0.2,0.7,-0.0946926698943021,"Y"
"277","nonpar",0,0.4,0.7,0.227748844813303,"X"
"278","nonpar",0,0.4,0.7,0.307979844865655,"Y"
"279","par",0,0.4,0.7,-0.019222392001587,"X"
"280","par",0,0.4,0.7,-0.0152824700903625,"Y"
"281","nonpar",0.5,0.4,0.7,0.0942367421954462,"X"
"282","nonpar",0.5,0.4,0.7,0.166175995950015,"Y"
"283","par",0.5,0.4,0.7,-0.0608907426317483,"X"
"284","par",0.5,0.4,0.7,-0.0623586586440947,"Y"
"285","nonpar",1,0.4,0.7,0.107550039680302,"X"
"286","nonpar",1,0.4,0.7,0.165723275731037,"Y"
"287","par",1,0.4,0.7,-0.0875274698298779,"X"
"288","par",1,0.4,0.7,-0.0858067208074893,"Y"
"289","nonpar",0,0.1,0.8,0.525656754117887,"X"
"290","nonpar",0,0.1,0.8,0.477359826332169,"Y"
"291","par",0,0.1,0.8,-0.0642484774250664,"X"
"292","par",0,0.1,0.8,-0.0712646209550529,"Y"
"293","nonpar",0.5,0.1,0.8,0.465866085221365,"X"
"294","nonpar",0.5,0.1,0.8,0.459863510061604,"Y"
"295","par",0.5,0.1,0.8,-0.0724889852920393,"X"
"296","par",0.5,0.1,0.8,-0.0744091577021203,"Y"
"297","nonpar",1,0.1,0.8,0.423054546402482,"X"
"298","nonpar",1,0.1,0.8,0.424020132441057,"Y"
"299","par",1,0.1,0.8,-0.104787105841082,"X"
"300","par",1,0.1,0.8,-0.102661809853596,"Y"
"301","nonpar",0,0.2,0.8,0.505434866183592,"X"
"302","nonpar",0,0.2,0.8,0.468441636993674,"Y"
"303","par",0,0.2,0.8,-0.0630752899273939,"X"
"304","par",0,0.2,0.8,-0.0584671839196133,"Y"
"305","nonpar",0.5,0.2,0.8,0.420926186328753,"X"
"306","nonpar",0.5,0.2,0.8,0.410805818835089,"Y"
"307","par",0.5,0.2,0.8,-0.0654604333778416,"X"
"308","par",0.5,0.2,0.8,-0.0793185872318512,"Y"
"309","nonpar",1,0.2,0.8,0.373798336337921,"X"
"310","nonpar",1,0.2,0.8,0.376158688975995,"Y"
"311","par",1,0.2,0.8,-0.0900494216411625,"X"
"312","par",1,0.2,0.8,-0.0965941829578236,"Y"
"313","nonpar",0,0.4,0.8,0.275286327426581,"X"
"314","nonpar",0,0.4,0.8,0.339404231628464,"Y"
"315","par",0,0.4,0.8,-0.0246411231275825,"X"
"316","par",0,0.4,0.8,-0.0176546783513132,"Y"
"317","nonpar",0.5,0.4,0.8,0.118065215583882,"X"
"318","nonpar",0.5,0.4,0.8,0.190740136281297,"Y"
"319","par",0.5,0.4,0.8,-0.0617045284497597,"X"
"320","par",0.5,0.4,0.8,-0.0580650061728526,"Y"
"321","nonpar",1,0.4,0.8,0.123657823336134,"X"
"322","nonpar",1,0.4,0.8,0.190840683492901,"Y"
"323","par",1,0.4,0.8,-0.0857756652900244,"X"
"324","par",1,0.4,0.8,-0.0892637202596713,"Y"
"325","nonpar",0,0.1,0.9,0.526589527562213,"X"
"326","nonpar",0,0.1,0.9,0.478073813949549,"Y"
"327","par",0,0.1,0.9,-0.0760403594454194,"X"
"328","par",0,0.1,0.9,-0.0801268003673104,"Y"
"329","nonpar",0.5,0.1,0.9,0.470222493103864,"X"
"330","nonpar",0.5,0.1,0.9,0.463239052741346,"Y"
"331","par",0.5,0.1,0.9,-0.0775330986918539,"X"
"332","par",0.5,0.1,0.9,-0.0773735570882119,"Y"
"333","nonpar",1,0.1,0.9,0.426865385351928,"X"
"334","nonpar",1,0.1,0.9,0.427571085503293,"Y"
"335","par",1,0.1,0.9,-0.102906226054206,"X"
"336","par",1,0.1,0.9,-0.105459734327479,"Y"
"337","nonpar",0,0.2,0.9,0.510035167951888,"X"
"338","nonpar",0,0.2,0.9,0.471952671446701,"Y"
"339","par",0,0.2,0.9,-0.0731530005260849,"X"
"340","par",0,0.2,0.9,-0.0776899201711936,"Y"
"341","nonpar",0.5,0.2,0.9,0.43795432817468,"X"
"342","nonpar",0.5,0.2,0.9,0.422117259568465,"Y"
"343","par",0.5,0.2,0.9,-0.0647031153330222,"X"
"344","par",0.5,0.2,0.9,-0.0789917538527422,"Y"
"345","nonpar",1,0.2,0.9,0.3851245668723,"X"
"346","nonpar",1,0.2,0.9,0.386784951327077,"Y"
"347","par",1,0.2,0.9,-0.0934451609964919,"X"
"348","par",1,0.2,0.9,-0.0945907694726078,"Y"
"349","nonpar",0,0.4,0.9,0.315063305299696,"X"
"350","nonpar",0,0.4,0.9,0.360183662117032,"Y"
"351","par",0,0.4,0.9,-0.0299466081066874,"X"
"352","par",0,0.4,0.9,-0.0251257342175969,"Y"
"353","nonpar",0.5,0.4,0.9,0.141099457455547,"X"
"354","nonpar",0.5,0.4,0.9,0.208093541412454,"Y"
"355","par",0.5,0.4,0.9,-0.0633269671252825,"X"
"356","par",0.5,0.4,0.9,-0.0609845879865798,"Y"
"357","nonpar",1,0.4,0.9,0.13701810822374,"X"
"358","nonpar",1,0.4,0.9,0.196390898984031,"Y"
"359","par",1,0.4,0.9,-0.0860622256463445,"X"
"360","par",1,0.4,0.9,-0.084016210583504,"Y"
"361","nonpar",0,0.1,1,0.527490117575988,"X"
"362","nonpar",0,0.1,1,0.479397559386431,"Y"
"363","par",0,0.1,1,-0.0882030567539067,"X"
"364","par",0,0.1,1,-0.0917068171343104,"Y"
"365","nonpar",0.5,0.1,1,0.472846885558836,"X"
"366","nonpar",0.5,0.1,1,0.46851827685094,"Y"
"367","par",0.5,0.1,1,-0.0793431467645665,"X"
"368","par",0.5,0.1,1,-0.0825826156603443,"Y"
"369","nonpar",1,0.1,1,0.429675901368573,"X"
"370","nonpar",1,0.1,1,0.427222677787482,"Y"
"371","par",1,0.1,1,-0.10351783684018,"X"
"372","par",1,0.1,1,-0.105486289687828,"Y"
"373","nonpar",0,0.2,1,0.514285596419675,"X"
"374","nonpar",0,0.2,1,0.473493867892816,"Y"
"375","par",0,0.2,1,-0.0825270028093675,"X"
"376","par",0,0.2,1,-0.0840829573353668,"Y"
"377","nonpar",0.5,0.2,1,0.45352326236009,"X"
"378","nonpar",0.5,0.2,1,0.426378722044704,"Y"
"379","par",0.5,0.2,1,-0.0702268654322475,"X"
"380","par",0.5,0.2,1,-0.07798767812692,"Y"
"381","nonpar",1,0.2,1,0.396398144491581,"X"
"382","nonpar",1,0.2,1,0.389114592527881,"Y"
"383","par",1,0.2,1,-0.0931601970164885,"X"
"384","par",1,0.2,1,-0.0992513038071073,"Y"
"385","nonpar",0,0.4,1,0.343256281927816,"X"
"386","nonpar",0,0.4,1,0.373482889338784,"Y"
"387","par",0,0.4,1,-0.0335227000401472,"X"
"388","par",0,0.4,1,-0.0352939635019604,"Y"
"389","nonpar",0.5,0.4,1,0.174292165914225,"X"
"390","nonpar",0.5,0.4,1,0.236726560662491,"Y"
"391","par",0.5,0.4,1,-0.0594496965465658,"X"
"392","par",0.5,0.4,1,-0.0611333336484456,"Y"
"393","nonpar",1,0.4,1,0.15278544328649,"X"
"394","nonpar",1,0.4,1,0.209325924214626,"Y"
"395","par",1,0.4,1,-0.0835321415335807,"X"
"396","par",1,0.4,1,-0.0847433544118356,"Y"
