"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",0,0,287,0,0,203,0,0,161,0,0,93,189,0,17,39,0,11
"3",0,0,242,0,0,240,0,0,144,0,0,115,126,0,42,61,0,29
"4",0,0,297,0,0,208,0,0,146,0,0,102,168,0,18,50,0,11
"5",0,0,402,0,0,127,0,0,200,0,0,35,160,0,46,23,0,6
"6",0,0,387,0,0,114,0,0,203,0,0,47,0,0,203,0,0,46
"7",0,0,301,0,0,195,0,0,157,0,0,94,179,0,24,37,0,12
"8",0,0,348,0,0,142,0,0,190,0,0,65,160,0,60,17,0,18
"9",0,0,331,0,0,184,0,0,174,0,0,69,148,0,51,25,0,18
"10",0,0,264,0,0,251,0,0,134,0,0,109,174,0,7,59,0,2
"11",0,0,479,0,0,47,0,0,223,0,0,14,0,0,223,0,0,14
"12",0,0,334,0,0,163,0,0,184,0,0,68,0,0,184,0,0,68
"13",0,0,363,0,0,150,0,0,196,0,0,47,170,0,48,14,0,12
"14",0,0,345,0,0,178,0,0,173,0,0,66,0,0,173,0,0,66
"15",0,0,320,0,0,180,0,0,171,0,0,79,112,0,75,29,0,34
"16",0,0,284,0,0,201,0,0,157,0,0,101,141,0,40,47,0,30
"17",0,0,365,0,0,138,0,0,198,0,0,50,0,0,198,0,0,50
"18",0,0,378,0,0,142,0,0,193,0,0,46,0,0,193,0,0,46
"19",0,0,332,0,0,182,0,0,166,0,0,77,0,0,165,0,0,78
"20",0,0,418,0,0,87,0,0,218,0,0,29,0,0,218,0,0,29
"21",0,0,326,0,0,192,0,0,159,0,0,82,187,0,18,27,0,9
"22",0,0,232,0,0,241,0,0,154,0,0,110,172,0,28,40,0,24
"23",0,0,253,0,0,225,0,0,174,0,0,87,204,0,7,48,0,2
"24",0,0,277,0,0,216,0,0,170,0,0,84,163,0,37,39,0,15
"25",0,0,330,0,0,158,0,0,194,0,0,62,195,0,33,19,0,9
"26",0,0,286,0,0,211,0,0,160,0,0,91,0,0,160,0,0,92
"27",0,0,356,0,0,149,0,0,201,0,0,46,0,0,201,0,0,46
"28",0,0,292,0,0,203,0,0,154,0,0,99,186,0,18,39,0,10
"29",0,0,301,0,0,207,0,0,172,0,0,74,182,0,20,36,0,8
"30",0,0,297,0,0,184,0,0,176,0,0,84,0,0,176,0,0,84
"31",0,0,357,0,0,167,0,0,174,0,0,64,167,0,34,28,0,9
"32",0,0,321,0,0,167,0,0,185,0,0,71,146,0,69,19,0,22
"33",0,0,298,0,0,192,0,0,184,0,0,71,191,0,27,26,0,12
"34",0,0,318,0,0,177,0,0,195,0,0,58,220,0,7,22,0,4
"35",0,0,227,0,0,260,0,0,132,0,0,124,153,0,25,51,0,27
"36",0,0,289,0,0,198,0,0,171,0,0,86,201,0,12,43,0,2
"37",0,0,356,0,0,121,0,0,213,0,0,49,132,0,88,16,0,25
"38",0,0,318,0,0,175,0,0,177,0,0,76,109,0,91,16,0,38
"39",0,0,323,0,0,164,0,0,193,0,0,63,0,0,194,0,0,63
